Year,Month,Temp,
1796,1,24.317,
1796,2,23.923,
1796,3,24.407,
1796,4,27.171,
1796,5,29.05,
1796,6,28.539,
1796,7,26.857,
1796,8,26.887,
1796,9,27.123,
1796,10,27.562,
1796,11,26.966,
1796,12,23.972,
1797,1,NaN,
1797,2,NaN,
1797,3,24.988,
1797,4,26.528,
1797,5,28.488,
1797,6,29.328,
1797,7,27.069,
1797,8,27.246,
1797,9,27.253,
1797,10,27.232,
1797,11,26.246,
1797,12,25.502,
1798,1,24.467,
1798,2,24.321,
1798,3,26.287,
1798,4,NaN,
1798,5,NaN,
1798,6,28.843,
1798,7,28.105,
1798,8,27.394,
1798,9,27.197,
1798,10,27.535,
1798,11,27.479,
1798,12,25.185,
1799,1,23.938,
1799,2,22.776,
1799,3,25.171,
1799,4,27.868,
1799,5,29.251,
1799,6,29.241,
1799,7,27.194,
1799,8,27.122,
1799,9,27.249,
1799,10,28.157,
1799,11,26.838,
1799,12,25.355,
1800,1,24.394,
1800,2,24.477,
1800,3,25.033,
1800,4,28.385,
1800,5,28.427,
1800,6,28.65,
1800,7,26.586,
1800,8,26.526,
1800,9,26.221,
1800,10,27.877,
1800,11,27.47,
1800,12,25.849,
1801,1,24.724,
1801,2,23.601,
1801,3,27.124,
1801,4,NaN,
1801,5,NaN,
1801,6,28.076,
1801,7,27.332,
1801,8,26.643,
1801,9,26.777,
1801,10,27.569,
1801,11,27.28,
1801,12,26.609,
1802,1,25.155,
1802,2,24.487,
1802,3,26.891,
1802,4,27.781,
1802,5,28.269,
1802,6,29.809,
1802,7,27.975,
1802,8,27.028,
1802,9,28.007,
1802,10,28.127,
1802,11,27.083,
1802,12,25.195,
1803,1,23.025,
1803,2,23.08,
1803,3,25.411,
1803,4,28.14,
1803,5,29.227,
1803,6,29.06,
1803,7,27.987,
1803,8,28.228,
1803,9,27.951,
1803,10,27.903,
1803,11,27.566,
1803,12,25.413,
1804,1,24.862,
1804,2,23.976,
1804,3,25.312,
1804,4,29.017,
1804,5,29.737,
1804,6,29.411,
1804,7,28.846,
1804,8,27.226,
1804,9,27.725,
1804,10,27.761,
1804,11,28.435,
1804,12,25.061,
1805,1,24.461,
1805,2,23.797,
1805,3,25.96,
1805,4,26.92,
1805,5,29.166,
1805,6,29.391,
1805,7,27.137,
1805,8,27.589,
1805,9,27.104,
1805,10,26.465,
1805,11,26.88,
1805,12,26.477,
1806,1,24.361,
1806,2,23.696,
1806,3,25.034,
1806,4,27.26,
1806,5,28.957,
1806,6,27.426,
1806,7,27.155,
1806,8,27.3,
1806,9,28.089,
1806,10,27.395,
1806,11,27.364,
1806,12,26.031,
1807,1,23.365,
1807,2,23.375,
1807,3,NaN,
1807,4,NaN,
1807,5,26.894,
1807,6,29.009,
1807,7,27.866,
1807,8,26.897,
1807,9,27.613,
1807,10,27.121,
1807,11,27.173,
1807,12,26.686,
1808,1,NaN,
1808,2,NaN,
1808,3,NaN,
1808,4,NaN,
1808,5,NaN,
1808,6,NaN,
1808,7,NaN,
1808,8,NaN,
1808,9,NaN,
1808,10,NaN,
1808,11,NaN,
1808,12,NaN,
1809,1,NaN,
1809,2,NaN,
1809,3,NaN,
1809,4,NaN,
1809,5,NaN,
1809,6,NaN,
1809,7,NaN,
1809,8,NaN,
1809,9,NaN,
1809,10,NaN,
1809,11,NaN,
1809,12,NaN,
1810,1,NaN,
1810,2,NaN,
1810,3,NaN,
1810,4,NaN,
1810,5,NaN,
1810,6,NaN,
1810,7,NaN,
1810,8,NaN,
1810,9,NaN,
1810,10,NaN,
1810,11,NaN,
1810,12,NaN,
1811,1,NaN,
1811,2,NaN,
1811,3,NaN,
1811,4,NaN,
1811,5,NaN,
1811,6,NaN,
1811,7,NaN,
1811,8,NaN,
1811,9,NaN,
1811,10,NaN,
1811,11,NaN,
1811,12,NaN,
1812,1,NaN,
1812,2,NaN,
1812,3,NaN,
1812,4,NaN,
1812,5,NaN,
1812,6,NaN,
1812,7,NaN,
1812,8,NaN,
1812,9,NaN,
1812,10,NaN,
1812,11,NaN,
1812,12,NaN,
1813,1,22.003,
1813,2,23.342,
1813,3,23.615,
1813,4,27.842,
1813,5,29.546,
1813,6,27.665,
1813,7,26.952,
1813,8,25.711,
1813,9,26.856,
1813,10,26.775,
1813,11,27.744,
1813,12,24.185,
1814,1,22.785,
1814,2,23.301,
1814,3,24.277,
1814,4,26.493,
1814,5,NaN,
1814,6,28.363,
1814,7,25.805,
1814,8,25.789,
1814,9,25.757,
1814,10,26.119,
1814,11,27.706,
1814,12,26.784,
1815,1,23.144,
1815,2,23.891,
1815,3,24.263,
1815,4,27.431,
1815,5,28.397,
1815,6,25.891,
1815,7,26.283,
1815,8,26.012,
1815,9,26.339,
1815,10,25.608,
1815,11,25.668,
1815,12,23.794,
1816,1,23.55,
1816,2,21.01,
1816,3,24.001,
1816,4,26.163,
1816,5,28.471,
1816,6,27.349,
1816,7,25.088,
1816,8,25.195,
1816,9,25.243,
1816,10,24.881,
1816,11,26.04,
1816,12,24.26,
1817,1,23.094,
1817,2,23.845,
1817,3,24.899,
1817,4,26.781,
1817,5,27.455,
1817,6,26.575,
1817,7,25.729,
1817,8,26.248,
1817,9,24.385,
1817,10,25.272,
1817,11,26.026,
1817,12,23.876,
1818,1,23.447,
1818,2,22.755,
1818,3,25.419,
1818,4,28.035,
1818,5,29.263,
1818,6,28.62,
1818,7,25.402,
1818,8,24.999,
1818,9,25.606,
1818,10,25.516,
1818,11,26.404,
1818,12,24.73,
1819,1,21.977,
1819,2,22.49,
1819,3,23.7,
1819,4,26.14,
1819,5,27.809,
1819,6,27.827,
1819,7,26.03,
1819,8,25.808,
1819,9,25.928,
1819,10,27.071,
1819,11,26.985,
1819,12,24.625,
1820,1,22.249,
1820,2,22.773,
1820,3,24.601,
1820,4,27.778,
1820,5,28.03,
1820,6,27.681,
1820,7,26.069,
1820,8,25.177,
1820,9,26.111,
1820,10,26.426,
1820,11,26.456,
1820,12,24.519,
1821,1,24.767,
1821,2,24.588,
1821,3,26.001,
1821,4,26.102,
1821,5,28.62,
1821,6,27.652,
1821,7,26.136,
1821,8,26.195,
1821,9,25.422,
1821,10,26.717,
1821,11,27.224,
1821,12,25.292,
1822,1,24.45,
1822,2,25.188,
1822,3,27.393,
1822,4,27.102,
1822,5,28.405,
1822,6,27.762,
1822,7,26.726,
1822,8,25.494,
