Date,Discharge,Code
6/1/2004,6170,A
6/2/2004,6590,A
6/3/2004,6210,A
6/4/2004,7120,A
6/5/2004,6990,A
6/6/2004,6160,A
6/7/2004,5570,A
6/8/2004,4500,A
6/9/2004,4940,A
6/10/2004,4550,A
6/11/2004,3690,A
6/12/2004,3780,A
6/13/2004,3660,A
6/14/2004,3020,A
6/15/2004,3680,A
6/16/2004,3390,A
6/17/2004,3090,A
6/18/2004,2980,A
6/19/2004,2950,A
6/20/2004,3940,A
6/21/2004,2990,A
6/22/2004,2980,A
6/23/2004,2910,A
6/24/2004,2720,A
6/25/2004,2970,A
6/26/2004,2740,A
6/27/2004,2910,A
6/28/2004,2730,A
6/29/2004,2930,A
6/30/2004,2860,A
7/1/2004,2650,A
7/2/2004,3170,A
7/3/2004,2970,A
7/4/2004,3010,A
7/5/2004,2850,A
7/6/2004,5150,A
7/7/2004,3350,A
7/8/2004,2790,A
7/9/2004,2750,A
7/10/2004,3210,A
7/11/2004,3210,A
7/12/2004,4190,A
7/13/2004,3360,A
7/14/2004,2920,A
7/15/2004,2810,A
7/16/2004,2750,A
7/17/2004,3050,A
7/18/2004,4670,A
7/19/2004,4920,A
7/20/2004,4160,A
7/21/2004,4960,A
7/22/2004,5200,A
7/23/2004,4050,A
7/24/2004,7070,A
7/25/2004,10600,A
7/26/2004,5890,A
7/27/2004,5030,A
7/28/2004,4640,A
7/29/2004,4260,A
7/30/2004,3650,A
7/31/2004,3480,A
8/1/2004,4060,A
8/2/2004,3780,A
8/3/2004,3670,A
8/4/2004,3860,A
8/5/2004,4200,A
8/6/2004,3760,A
8/7/2004,3300,A
8/8/2004,3590,A
8/9/2004,3900,A
8/10/2004,3390,A
8/11/2004,3450,A
8/12/2004,3390,A
8/13/2004,6180,A
8/14/2004,14100,A
8/15/2004,12100,A
8/16/2004,9420,A
8/17/2004,7750,A
8/18/2004,7410,A
8/19/2004,6950,A
8/20/2004,7640,A
8/21/2004,8210,A
8/22/2004,9630,A
8/23/2004,9180,A
8/24/2004,7960,A
8/25/2004,7300,A
8/26/2004,6920,A
8/27/2004,6310,A
8/28/2004,6630,A
8/29/2004,6360,A
8/30/2004,6320,A
8/31/2004,7170,A
9/1/2004,8990,A
9/2/2004,8730,A
9/3/2004,6780,A
9/4/2004,6610,A
9/5/2004,5560,A
9/6/2004,6010,A
9/7/2004,5790,A
9/8/2004,6650,A
9/9/2004,7610,A
9/10/2004,10300,A
9/11/2004,10700,A
9/12/2004,9070,A
9/13/2004,8350,A
9/14/2004,7600,A
9/15/2004,7340,A
9/16/2004,7150,A
9/17/2004,7130,A
9/18/2004,7410,A
9/19/2004,7850,A
9/20/2004,7990,A
9/21/2004,7770,A
9/22/2004,7210,A
9/23/2004,7060,A
9/24/2004,6980,A
9/25/2004,6510,A
9/26/2004,6330,A
9/27/2004,6540,A
9/28/2004,6460,A
9/29/2004,6490,A
9/30/2004,6190,A
10/1/2004,5840,A
10/2/2004,5550,A
10/3/2004,5490,A
10/4/2004,5710,A
10/5/2004,5740,A
10/6/2004,5680,A
10/7/2004,5510,A
10/8/2004,5420,A
10/9/2004,5130,A
10/10/2004,4500,A
10/11/2004,4490,A
10/12/2004,4480,A
10/13/2004,4570,A
10/14/2004,4460,A
