mean.length,dimension
3.13,Mixed
2.71,Mixed
2.3,Two
2.74,Mixed
2,Mixed
3.82,Mixed
2.79,Mixed
2.44,Mixed
2.86,Mixed
2,Two
2,Two
2.25,Two
2.5,Two
2.4,Mixed
2.33,Mixed
2.14,Mixed
3.56,Three
2,Mixed
3,Three
3.26,Three
4.61,Three
3.69,Mixed
2.4,Two
2.7,Three
2.16,Three
2.93,Mixed
2.89,Three
1.96,Mixed
3.14,Three
5.02,Three
3.9,Three
3.86,Three
1.93,Mixed
2.56,Two
2.72,Two
2.07,Mixed
2.75,Mixed
2.13,Mixed
1.8,Mixed
1.88,Three
5.92,Three
4.95,Three
3.13,Three
3.63,Mixed
2.14,Two
4.43,Three
4.22,Mixed
3.53,Mixed
2.56,Mixed
2.44,Two
3.28,Mixed
2.08,Two
1.95,Two
2.58,Mixed
2.46,Two
2.22,Two
3.29,Mixed
4.28,Mixed
2.37,Three
2.36,Three
2,Two
3,Two
3.16,Two
1.67,Two
1.85,Two
2.93,Two
3.94,Mixed
2.63,Three
3.62,Mixed
2.49,Mixed
5.15,Three
3.95,Three
2.38,Three
2.38,Two
2.75,Three
2.67,Mixed
3.63,Mixed
3.15,Mixed
3.41,Mixed
3.35,Mixed
2.73,Mixed
3.71,Mixed
2.45,Mixed
3.61,Mixed
3.61,Mixed
4.09,Three
2.91,Mixed
1.95,Two
2.89,Three
1.84,Two
3,Three
2,Two
2.12,Two
3.35,Two
2.5,Two
1.92,Two
2,Two
3.54,Two
2.51,Two
Two,
Mixed,
Three,
Three,
Two,
Two,
Two,
Two,
Two,
Two,
Two,
Two,
Mixed,
Mixed,
