 dat ,name,college,pos,height,weight,wonderlic,40yards,bench,leap,jump,shuttle,3cone
2015,Brett Hundley,UCLA,QB,75,223,NA,,NA,NA,,,
2014,Jared Abbrederis,Wisconsin,WR,73,195,32,4.5,4,30.5,116,4.08,6.8
2014,Davante Adams,Fresno State,WR,73,212,NA,4.56,14,39.5,123,4.3,6.82
2014,Maurice Alexander,Utah State,SS,73,220,NA,4.54,NA,38,123,4.51,7.05
2014,Ricardo Allen,Purdue,CB,69,187,NA,4.61,13,35.5,116,4.15,
2014,Jace Amaro,Texas Tech,TE,77,265,NA,4.74,28,NA,116,4.3,7.42
2014,Antonio Andrews,Western Kentucky,RB,70,225,NA,4.82,20,29.5,104,4.49,7.24
2014,Dri Archer,Kent State,WR,68,173,NA,4.26,20,38,122,4.06,6.86
2014,George Atkinson,Notre Dame,RB,73,218,NA,4.48,19,38,128,4.46,7.07
2014,Jeremiah Attaochu,Georgia Tech,OLB,75,252,NA,,NA,NA,,,
2014,Dion Bailey,Southern California,FS,73,201,NA,4.66,NA,34,112,4.15,6.97
2014,Anthony Barr,UCLA,OLB,77,255,NA,4.66,15,34.5,117,4.19,6.82
2014,Lamin Barrow,Louisiana State,ILB,73,237,NA,4.64,22,35,123,4.35,7.24
2014,Odell Beckham,Louisiana State,WR,71,198,NA,4.43,7,38.5,122,3.94,6.69
2014,Deion Belue,Alabama,CB,71,182,NA,4.48,11,NA,,,
2014,Kelvin Benjamin,Florida State,WR,77,240,7,4.61,13,32.5,117,4.39,7.33
2014,Bene Benwikere,San Jose State,CB,71,195,NA,4.63,10,40.5,122,4.38,6.94
2014,Nat Berhe,San Diego State,SS,71,193,NA,4.71,15,35.5,116,4.22,7.08
2014,Kapri Bibbs,Colorado State,RB,69,212,NA,4.67,24,29,104,,
2014,Joel Bitonio,Nevada,OT,76,302,NA,4.97,22,32,113,4.44,7.37
2014,Alfred Blue,Louisiana State,RB,74,223,NA,4.63,13,32,121,4.5,7.15
2014,Russell Bodine,North Carolina,OG,75,310,NA,5.18,42,29,109,4.66,8.26
2014,Conor Boffeli,Iowa,OG,76,298,NA,5.3,21,25,101,4.61,7.44
2014,Chris Borland,Wisconsin,ILB,73,248,32,4.83,27,31,113,4.27,7.18
2014,Blake Bortles,Central Florida,QB,77,232,28,4.93,NA,32.5,114,,
2014,Tre Boston,North Carolina,FS,73,204,NA,4.59,18,35,115,4.31,7.04
2014,Chris Boyd,Vanderbilt,WR,76,206,NA,4.73,12,NA,,,
2014,Tajh Boyd,Clemson,QB,73,222,NA,4.84,NA,30.5,104,,
2014,Carl Bradford,Arizona State,OLB,73,250,NA,4.76,23,37.5,122,4.3,7.25
2014,Bashaud Breeland,Clemson,CB,71,197,NA,4.62,11,34.5,123,4.33,7.04
2014,Teddy Bridgewater,Louisville,QB,74,214,20,,NA,30,112,,
2014,Justin Britt,Missouri,OT,78,325,NA,5.19,23,23,99,4.69,8.14
2014,Jay Bromley,Syracuse,DT,75,306,NA,5.06,26,33.5,104,,7.92
2014,Terrence Brooks,Florida State,FS,71,198,NA,4.42,10,38,118,,7.35
2014,Corey Brown,Ohio State,WR,71,178,NA,4.51,NA,33,115,4.22,7.16
2014,John Brown,Pittsburg State,WR,70,179,NA,4.34,NA,36.5,117,4.12,6.91
2014,Jonathan Brown,Illinois,OLB,73,238,NA,5.03,16,31,108,4.56,7.77
2014,Preston Brown,Louisville,ILB,73,251,NA,4.86,23,33,115,4.26,6.98
2014,Martavis Bryant,Clemson,WR,76,211,14,4.42,16,39,123,4.15,7.18
2014,Deone Bucannon,Washington State,SS,73,211,NA,4.49,19,36.5,124,4.26,6.96
2014,Max Bullough,Michigan State,ILB,76,249,NA,4.78,30,31,111,4.3,7.22
2014,Isaiah Burse,Fresno State,WR,70,188,NA,4.58,16,31,114,3.94,6.74
2014,Trey Burton,Florida,WR,74,224,NA,4.62,NA,NA,111,4.32,7.14
2014,Michael Campanaro,Wake Forest,WR,69,192,NA,4.46,20,39,122,4.01,6.77
2014,KaDeem Carey,Arizona,RB,69,207,NA,4.7,19,32.5,114,4.38,7.08
2014,Derek Carr,Fresno State,QB,74,214,20,4.69,NA,34.5,110,,
2014,Ryan Carrethers,Arkansas State,DT,73,337,NA,5.47,32,26,87,,7.89
2014,Travis Carrie,Ohio,CB,73,206,NA,4.49,17,NA,,,
2014,Will Clarke,West Virginia,DE,78,271,NA,4.77,22,32,111,,7.26
2014,HaSean Clinton-Dix,Alabama,FS,73,208,NA,4.58,11,33,117,4.16,7.16
2014,Jadeveon Clowney,South Carolina,DE,77,266,NA,4.53,21,37.5,123,,7.27
2014,Ross Cockrell,Duke,CB,73,191,NA,4.56,10,36.5,122,4.32,7.28
2014,Brandon Coleman,Rutgers,WR,78,225,NA,4.56,21,32.5,,4.51,7.33
2014,Deandre Coleman,California,DT,77,314,NA,5.12,24,NA,,,
2014,Brandin Cooks,Oregon State,WR,70,189,NA,4.33,16,36,120,3.81,6.76
2014,Damian Copeland,Louisville,WR,71,184,NA,4.5,12,40,120,3.9,6.53
2014,J.C. Copeland,Louisiana State,FB,71,271,NA,4.95,23,28.5,111,4.58,7.68
2014,Tim Cornett,UNLV,RB,73,209,NA,4.48,NA,34.5,124,4.26,7.01
2014,Scott Crichton,Oregon State,DE,75,273,NA,4.84,24,31.5,108,,7.19
2014,Isaiah Crowell,Alabama State,RB,71,224,NA,4.57,23,38,116,,
2014,Chris Davis,Auburn,CB,70,202,NA,4.54,15,NA,,,
2014,Mike Davis,Texas,WR,73,197,NA,4.52,10,NA,,,
2014,Anthony Denham,Utah,WR,77,235,NA,4.77,NA,32.5,,,
2014,Darqueze Dennard,Michigan State,CB,71,199,NA,4.52,15,NA,,,
2014,Pierre Desir,Lindenwood,CB,73,198,NA,4.59,11,35,133,4.3,6.86
2014,Ahmad Dixon,Baylor,SS,73,212,NA,4.64,14,32,111,4.5,7.55
2014,Brandon Dixon,Northwest Missouri St,CB,73,203,NA,4.41,17,32.5,116,4.27,7.15
2014,Aaron Donald,Pittsburgh,DT,73,285,NA,4.68,35,32,115,,7.11
2014,Jonathan Dowling,Western Kentucky,FS,75,190,NA,4.52,8,33.5,116,4.24,7.04
2014,Dakota Dozier,Furman,OG,76,313,NA,5.42,23,24,100,4.89,8.14
2014,Joe Don Duncan,Dixie State,TE,75,268,NA,4.79,35,NA,,,
2014,Kony Ealy,Missouri,DE,76,273,NA,4.92,22,31,113,,6.83
2014,Dominique Easley,Florida,DT,74,288,NA,4.93,26,NA,,,
2014,Eric Ebron,North Carolina,TE,76,250,16,4.6,24,NA,120,,
2014,Kasim Edebali,Boston College,OLB,74,253,NA,4.79,19,34.5,114,,7.2
2014,Kadeem Edwards,Tennessee State,OG,76,313,NA,5.25,26,27,99,4.82,7.95
2014,Bruce Ellington,South Carolina,WR,69,197,NA,4.45,15,39.5,120,3.95,6.69
2014,Justin Ellis,Louisiana Tech,DT,74,334,NA,5.27,25,28,91,,7.81
2014,IK Enemkpali,Louisiana Tech,DE,73,261,NA,4.78,28,NA,,,7.67
2014,Quincy Enunwa,Nebraska,WR,74,225,NA,4.41,19,NA,,,
2014,Mike Evans,Texas A&M,WR,77,231,25,4.53,12,37,,4.26,7.08
2014,Shaquelle Evans,UCLA,WR,73,213,NA,4.51,13,34.5,122,4.21,7.07
2014,Antone Exum,Virginia Tech,CB,73,213,NA,4.59,17,35,116,4.13,7.05
2014,David Fales,San Jose State,QB,74,212,NA,4.99,NA,28,102,,
2014,Matt Feiler,Bloomsburg,OT,78,330,NA,5.37,36,26.5,102,4.86,8.13
2014,Ego Ferguson,Louisiana State,DT,75,315,NA,4.98,24,NA,,,
2014,C.J. Fiedorowicz,Iowa,TE,78,265,NA,4.76,25,NA,115,4.26,7.1
2014,Tim Flanders,Sam Houston State,RB,69,207,NA,4.75,20,32,112,,7.07
2014,Cameron Fleming,Stanford,OT,77,323,NA,5.28,26,23.5,97,5,8.24
2014,David Fluellen,Toledo,RB,71,224,NA,4.72,NA,36.5,120,,6.9
2014,Dee Ford,Auburn,DE,74,252,NA,,NA,NA,,,
2014,Khairi Fortt,California,OLB,74,248,NA,4.7,30,36,120,,
2014,Bennie Fowler,Michigan State,WR,73,217,NA,4.52,NA,36,125,4.18,7.06
2014,Austin Franklin,New Mexico State,WR,71,189,NA,4.56,7,36,123,4.33,7.07
2014,Devonta Freeman,Florida State,RB,68,206,NA,4.58,NA,31.5,116,4.26,7.11
2014,Kyle Fuller,Virginia Tech,CB,73,190,NA,4.49,12,38.5,127,4.19,6.9
2014,Zach Fulton,Tennessee,OG,77,316,NA,5.16,25,24.5,98,5.16,7.87
2014,Tyler Gaffney,Stanford,RB,73,220,NA,4.49,NA,36.5,115,4.18,6.78
2014,E.J. Gaines,Missouri,CB,70,190,NA,4.44,15,NA,,,
2014,Phillip Gaines,Rice,CB,73,193,NA,4.38,11,36.5,122,4.04,6.62
2014,Jeremy Gallon,Michigan,WR,68,185,NA,4.49,15,NA,,,
2014,Jimmy Garoppolo,Eastern Illinois,QB,74,226,24,4.97,NA,30.5,110,,
2014,James Gayle,Virginia Tech,DE,76,259,NA,4.7,26,37,122,,7.19
2014,Jeremiah George,Iowa State,ILB,71,234,NA,4.91,28,33,115,,
2014,Justin Gilbert,Oklahoma State,CB,73,202,NA,4.37,20,35.5,125,,6.92
2014,Crockett Gillmore,Colorado State,TE,78,260,NA,4.89,NA,NA,120,4.44,7.42
2014,Demetri Goodson,Baylor,CB,71,194,NA,4.52,11,37,123,4.34,6.8
2014,Ryan Grant,Tulane,WR,73,199,NA,4.64,8,35.5,117,4.11,6.68
2014,Xavier Grimble,Southern California,TE,76,257,NA,4.76,NA,NA,112,,
2014,Ryan Groy,Wisconsin,OG,77,316,NA,5.19,26,26.5,108,4.47,7.49
2014,RaShede Hageman,Minnesota,DT,78,310,13,5.02,32,35.5,113,,7.87
2014,Andre Hal,Vanderbilt,CB,70,188,NA,4.5,15,35.5,117,4.27,7.14
2014,Jon Halapio,Florida,OG,75,323,NA,5.34,NA,21.5,99,4.83,8.26
2014,Victor Hampton,South Carolina,CB,69,197,NA,4.69,20,33.5,116,4.2,7.01
2014,Jonotthan Harrison,Florida,C,75,304,NA,5.15,27,27,112,4.86,7.97
2014,Taylor Hart,Oregon,DE,78,281,NA,4.92,21,NA,,,
2014,Matt Hazel,Coastal Carolina,WR,73,198,NA,4.5,15,36.5,116,4.2,7.08
2014,Marcus Heit,Kansas State,LS,75,258,NA,4.91,NA,29,,,
2014,Seantrel Henderson,Miami,OT,79,331,NA,5.04,NA,24,93,4.77,8.15
2014,Robert Herron,Wyoming,WR,69,193,NA,4.48,18,35.5,124,4.27,6.84
2014,Ryan Hewitt,Stanford,FB,76,246,NA,4.87,NA,33,116,4.35,7.04
2014,Jeremy Hill,Louisiana State,RB,73,233,NA,4.56,20,29,112,,
2014,Anthony Hitchens,Iowa,OLB,73,240,NA,4.74,23,31.5,115,4.45,7.15
2014,Cody Hoffman,BYU,WR,76,223,NA,4.65,13,27.5,108,4.2,6.89
2014,Adrian Hubbard,Alabama,OLB,78,257,NA,4.69,NA,38.5,116,,
2014,Josh Huff,Oregon,WR,71,206,NA,4.51,14,35.5,115,,
2014,Marqueston Huff,Wyoming,FS,71,196,NA,4.49,15,35.5,116,4.19,7.26
2014,Allen Hurns,Miami,WR,73,198,NA,4.55,14,31,120,4.5,7.23
2014,Carlos Hyde,Ohio State,RB,73,230,9,4.62,19,34.5,113,,
2014,Kerry Hyder,Texas Tech,DT,74,290,NA,5.1,20,29.5,108,,7.23
2014,Gabe Ikard,Oklahoma,C,76,304,NA,5.13,22,26,102,4.37,7.3
2014,Bennett Jackson,Notre Dame,CB,73,195,NA,4.51,13,38,127,4,6.75
2014,Gabe Jackson,Mississippi State,OG,75,336,NA,5.34,30,29,108,4.78,8.25
2014,Nic Jacobs,McNeese State,TE,77,269,NA,4.89,15,NA,,,
2014,JaWuan James,Tennessee,OT,78,311,NA,5.34,22,29,102,4.56,7.42
2014,Kendall James,Maine,CB,70,180,NA,4.44,9,39,,4.19,6.81
2014,Jeff Janis,Saginaw Valley State,WR,75,219,NA,4.42,20,37.5,123,3.98,6.64
2014,Stanley Jean-Baptiste,Nebraska,CB,75,218,NA,4.61,13,41.5,127,4.33,
2014,Jackson Jeffcoat,Texas,DE,75,247,NA,4.63,18,36,123,,6.97
2014,Marcel Jensen,Fresno State,TE,78,259,NA,4.85,24,35,114,4.6,7.38
2014,Timmy Jernigan,Florida State,DT,74,299,NA,5.06,27,29.5,101,,
2014,Anthony Johnson,Louisiana State,DT,74,308,NA,5.24,20,24.5,101,,7.93
2014,Dontae Johnson,North Carolina State,FS,74,200,NA,4.45,12,38.5,123,4.24,6.82
2014,Storm Johnson,Central Florida,RB,73,209,NA,4.6,16,35.5,116,,
2014,Wesley Johnson,Vanderbilt,OT,77,297,NA,5.11,26,29,111,4.64,7.4
2014,Christian Jones,Florida State,ILB,75,240,NA,4.74,NA,33.5,114,,
2014,DaQuan Jones,Penn State,DT,76,322,NA,5.35,25,27.5,100,,
2014,Howard Jones,Shepherd,OLB,74,235,NA,4.6,21,40.5,123,,7.16
2014,TJ Jones,Notre Dame,WR,73,188,NA,4.48,NA,33,117,4.27,6.82
2014,Reggie Jordan,Missouri Western,FB,75,240,NA,4.77,24,NA,115,4.3,7.22
2014,Henry Josey,Missouri,RB,68,194,NA,4.43,20,34.5,116,4.13,7.07
2014,Lamarcus Joyner,Florida State,CB,68,184,NA,4.55,14,37.5,123,4.4,7.26
2014,Devon Kennard,Southern California,OLB,75,249,NA,4.7,23,30,112,4.32,7.25
2014,Zack Kerr,Delaware,DT,73,326,NA,5.08,28,28.5,99,,7.93
2014,Christian Kirksey,Iowa,OLB,74,233,NA,4.72,16,32,122,,
2014,Cyrus Kouandjio,Alabama,OT,79,322,NA,5.59,21,27.5,96,4.84,7.71
2014,Kenny Ladler,Vanderbilt,FS,73,207,NA,4.7,24,36.5,126,,
2014,Jarvis Landry,Louisiana State,WR,71,205,NA,4.65,12,28.5,110,,
2014,Tyler Larsen,Utah State,C,76,313,NA,5.17,36,23.5,101,4.7,8.22
2014,Cody Latimer,Indiana,WR,74,215,NA,4.52,23,NA,,,
2014,Demarcus Lawrence,Boise State,DE,75,251,NA,4.8,20,34.5,112,,7.46
2014,Nevin Lawson,Utah State,CB,69,190,NA,4.48,16,33,120,4.4,7.12
2014,Marqise Lee,Southern California,WR,73,192,NA,4.52,NA,38,126,4.01,
2014,Charles Leno,Boise State,OT,76,303,NA,5.21,21,29,108,4.4,7.57
2014,A.C. Leonard,Tennessee State,TE,74,252,NA,4.5,20,34,127,,
2014,Taylor Lewan,Michigan,OT,79,309,NA,4.87,29,30.5,116,4.49,7.39
2014,Isaiah Lewis,Michigan State,SS,70,211,NA,4.6,15,36.5,122,4.47,7.05
2014,Brandon Linder,Miami,OG,78,311,NA,5.35,30,26.5,99,,
2014,Corey Linsley,Ohio State,C,75,296,NA,5.24,36,27,,,
2014,Boseko Lokombo,Oregon,OLB,74,225,NA,4.66,NA,NA,122,4.3,7.15
2014,Craig Loston,Louisiana State,SS,71,217,NA,4.65,12,32.5,117,4.35,7.15
2014,Marcus Lucas,Missouri,WR,76,218,NA,4.6,20,36,123,4.25,7.07
2014,Colt Lyerla,Oregon,TE,76,242,24,4.61,15,NA,127,,
2014,Aaron Lynch,South Florida,DE,77,249,NA,4.76,18,NA,,,
2014,Arthur Lynch,Georgia,TE,77,258,NA,4.82,28,29.5,115,4.35,7.38
2014,Jordan Lynch,Northern Illinois,QB,73,217,NA,4.76,NA,29.5,109,,
2014,Khalil Mack,Buffalo,OLB,75,251,NA,4.65,23,40,127,4.18,7.08
2014,Cody Mandell,Alabama,P,74,216,NA,4.89,NA,27,,,
2014,Eathyn Manumaleuna,BYU,DT,74,296,NA,5.16,29,28,100,,7.78
2014,Johnny Manziel,Texas A&M,QB,73,207,32,4.68,NA,31.5,112,,
2014,Cassius Marsh,UCLA,DE,76,252,NA,4.89,14,32,108,,7.08
2014,Kareem Martin,North Carolina,DE,78,272,NA,4.72,22,35.5,128,,7.2
