Year,Month,Temp
1744,1,NaN
1744,2,NaN
1744,3,NaN
1744,4,9.788
1744,5,15.708
1744,6,21.21
1744,7,22.207
1744,8,NaN
1744,9,14.922
1744,10,8.968
1744,11,3.161
1744,12,-2.681
1745,1,-2.363
1745,2,-2.671
1745,3,1.363
1745,4,8.209
1745,5,NaN
1745,6,NaN
1745,7,NaN
1745,8,NaN
1745,9,NaN
1745,10,NaN
1745,11,NaN
1745,12,NaN
1746,1,NaN
1746,2,NaN
1746,3,NaN
1746,4,NaN
1746,5,NaN
1746,6,NaN
1746,7,NaN
1746,8,NaN
1746,9,NaN
1746,10,NaN
1746,11,NaN
1746,12,NaN
1747,1,NaN
1747,2,NaN
1747,3,NaN
1747,4,NaN
1747,5,NaN
1747,6,NaN
1747,7,NaN
1747,8,NaN
1747,9,NaN
1747,10,NaN
1747,11,NaN
1747,12,NaN
1748,1,NaN
1748,2,NaN
1748,3,NaN
1748,4,NaN
1748,5,NaN
1748,6,NaN
1748,7,NaN
1748,8,NaN
1748,9,NaN
1748,10,NaN
1748,11,NaN
1748,12,NaN
1749,1,NaN
1749,2,NaN
1749,3,NaN
1749,4,NaN
1749,5,NaN
1749,6,NaN
1749,7,NaN
1749,8,NaN
1749,9,NaN
1749,10,NaN
1749,11,NaN
1749,12,NaN
1750,1,-4.31
1750,2,-2.719
1750,3,2.773
1750,4,8.848
1750,5,15.411
1750,6,19.017
1750,7,24.203
1750,8,22.135
1750,9,-0.135
1750,10,9.076
1750,11,NaN
1750,12,-1.093
1751,1,-3.591
1751,2,-2.051
1751,3,3.256
1751,4,7.992
1751,5,NaN
1751,6,20.724
1751,7,22.668
1751,8,21.547
1751,9,-1.768
1751,10,NaN
1751,11,NaN
1751,12,NaN
1752,1,-7.588
1752,2,NaN
1752,3,3.322
1752,4,7.402
1752,5,NaN
1752,6,NaN
1752,7,NaN
1752,8,NaN
1752,9,NaN
1752,10,9.391
1752,11,5.831
1752,12,-1.471
1753,1,-3.122
1753,2,-1.467
1753,3,4.207
1753,4,8.099
1753,5,15.33
1753,6,20.82
1753,7,22.524
1753,8,21.324
1753,9,-2.032
1753,10,10.479
1753,11,3.363
1753,12,-2.854
1754,1,-2.252
1754,2,-2.583
1754,3,2.728
1754,4,NaN
1754,5,NaN
1754,6,20.075
1754,7,22.503
1754,8,21.461
1754,9,-1.299
1754,10,11.477
1754,11,NaN
1754,12,-0.752
1755,1,-3.193
1755,2,-1.802
1755,3,1.112
1755,4,8.714
1755,5,15.238
1755,6,19.964
1755,7,NaN
1755,8,NaN
1755,9,-1.443
1755,10,8.669
1755,11,3.599
1755,12,-2.381
1756,1,-1.985
1756,2,0.259
1756,3,NaN
1756,4,NaN
1756,5,NaN
1756,6,20.488
1756,7,22.452
1756,8,21.208
1756,9,-0.235
1756,10,9.662
1756,11,2.894
1756,12,-2.9
1757,1,-4.79
1757,2,-1.507
1757,3,2.26
1757,4,7.666
1757,5,15.332
1757,6,22.461
1757,7,24.345
1757,8,21.159
1757,9,NaN
1757,10,9.42
1757,11,2.957
1757,12,-1.555
1758,1,-4.982
1758,2,-3.689
1758,3,1.532
1758,4,7.768
1758,5,13.844
1758,6,19.097
1758,7,21.276
1758,8,19.42
1758,9,-2.194
1758,10,7.043
1758,11,3.784
1758,12,-2.676
1759,1,-3.35
1759,2,-0.007
1759,3,2.711
1759,4,7.991
1759,5,14.739
1759,6,19.267
1759,7,19.827
1759,8,19.814
1759,9,-1.021
1759,10,10.81
1759,11,4.375
1759,12,-4.647
1760,1,-4.2
1760,2,-1.327
1760,3,1.358
1760,4,8.617
1760,5,14.091
1760,6,18.554
1760,7,NaN
1760,8,21.479
1760,9,-1.535
1760,10,9.188
1760,11,3.376
1760,12,-2.189
1761,1,-6.9
1761,2,-2.162
1761,3,3.621
1761,4,8.279
1761,5,18.068
1761,6,25.728
1761,7,29.141
1761,8,21.351
1761,9,-1.555
1761,10,NaN
1761,11,4.249
1761,12,-5.41
1762,1,NaN
1762,2,-2.559
1762,3,0.76
1762,4,9.184
1762,5,15.511
1762,6,20.677
1762,7,23.667
1762,8,NaN
1762,9,-1.327
1762,10,8.752
1762,11,4.145
1762,12,-0.902
1763,1,-6.632
1763,2,-4.01
1763,3,0.71
1763,4,8.061
1763,5,13.984
1763,6,19.517
1763,7,NaN
1763,8,21.195
1763,9,-1.211
1763,10,NaN
1763,11,3.079
1763,12,0.008
1764,1,-3.228
1764,2,0.683
1764,3,2.562
1764,4,NaN
1764,5,NaN
1764,6,17.642
1764,7,20.943
1764,8,20.419
1764,9,-2.389
1764,10,13.034
1764,11,5.831
1764,12,2.377
1765,1,-4.023
1765,2,-0.558
1765,3,3.977
1765,4,9.915
1765,5,15.262
1765,6,NaN
1765,7,21.415
1765,8,21.373
1765,9,-0.855
1765,10,10.026
1765,11,5.06
1765,12,-0.664
1766,1,-4.324
1766,2,0.621
1766,3,2.801
1766,4,8.662
1766,5,15.176
1766,6,20.605
1766,7,22.121
1766,8,22.44
1766,9,1.052
1766,10,10.217
1766,11,5.72
1766,12,-1.544
1767,1,-3.511
1767,2,-2.073
1767,3,2.647
1767,4,8.55
1767,5,13.56
1767,6,NaN
1767,7,22.095
1767,8,22.969
1767,9,-1.226
1767,10,10.404
1767,11,5.413
1767,12,-2.673
1768,1,-3.644
1768,2,1.139
1768,3,0.857
1768,4,6.302
1768,5,13.484
1768,6,17.737
1768,7,21.133
1768,8,20.494
1768,9,-1.893
1768,10,9.103
1768,11,3.407
1768,12,-1.661
1769,1,-1.794
1769,2,-2.48
1769,3,2.086
1769,4,8.157
1769,5,13.858
1769,6,20.674
1769,7,22.372
1769,8,21.182
1769,9,-0.485
1769,10,8.261
1769,11,2.268
1769,12,-2.459
1770,1,-4.794
1770,2,-1.657
1770,3,0.316
1770,4,8.689
1770,5,14.3
1770,6,19.44
