#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 316  4.8  6.0  0.92  5.56  4.88 999 1008.1   6.8   8.1   6.8 99.0 99.00
2012 01 01 00 50 296  5.5  6.3  0.89  5.56  4.60 999 1007.8   6.1   8.1   6.1 99.0 99.00
2012 01 01 01 50 311  8.4 10.0  0.87  8.33  4.09 999 1008.2   5.5   8.1   5.5 99.0 99.00
2012 01 01 02 50 314  8.3 10.0  0.93  3.45  4.05 999 1008.0   5.4   8.1   5.4 99.0 99.00
2012 01 01 03 50 313 11.1 13.0  1.12  3.85  3.88 999 1008.0   5.8   8.1   5.8 99.0 99.00
2012 01 01 04 50 319 11.1 13.3  1.25  4.76  4.06 999 1008.8   5.8   8.0   5.7 99.0 99.00
2012 01 01 05 50 319 11.1 13.2  1.48  4.55  4.31 999 1009.2   6.0   8.0   5.8 99.0 99.00
2012 01 01 06 50 318 10.5 12.5  1.46  5.00  4.39 999 1010.5   6.5   8.1   5.5 99.0 99.00
2012 01 01 07 50 332  9.8 11.5  1.41  5.00  4.31 999 1010.6   6.8   8.1   5.1 99.0 99.00
2012 01 01 08 50 322  8.2  9.6  1.23  5.00  4.15 999 1010.9   6.7   8.1   5.2 99.0 99.00
2012 01 01 09 50 308  9.5 11.2  1.18  4.55  4.05 999 1012.5   7.0   8.1   5.2 99.0 99.00
2012 01 01 10 50 310  8.8 10.7  1.17  4.76  4.11 999 1013.5   7.0   8.1   4.8 99.0 99.00
2012 01 01 11 50 330  8.6 10.2  1.18  4.35  4.09 999 1014.2   7.2   8.1   4.5 99.0 99.00
2012 01 01 12 50 336  6.8  7.9  1.15  4.35  4.18 999 1015.3   6.8   8.1   4.6 99.0 99.00
2012 01 01 13 50 346  6.4  7.5  0.92  4.00  4.13 999 1016.1   6.4   8.1   4.1 99.0 99.00
2012 01 01 14 50 354  4.7  5.9  1.02  7.69  4.44 999 1016.3   6.1   8.1   3.9 99.0 99.00
2012 01 01 15 50 333  3.4  4.3  1.03  8.33  4.96 999 1016.1   6.1   8.1   3.7 99.0 99.00
2012 01 01 16 50 336  1.6  2.5  1.00  7.69  4.98 999 1015.6   6.1   8.1   3.4 99.0 99.00
2012 01 01 17 50 243  0.5  1.1  0.95  7.14  4.93 999 1015.2   6.9   8.2   3.8 99.0 99.00
2012 01 01 18 50 183  1.4  2.0  0.79  7.69  5.12 999 1014.5   6.6   8.2   3.7 99.0 99.00
2012 01 01 19 50 139  3.1  3.8  0.82  7.69  5.21 999 1013.9   6.6   8.2   3.7 99.0 99.00
2012 01 01 20 50 142  5.5  6.8  0.70  8.33  5.07 999 1013.8   6.8   8.1   5.2 99.0 99.00
2012 01 01 21 50 155  6.6  8.0  0.66  8.33  4.60 999 1013.3   7.1   8.1   5.9 99.0 99.00
2012 01 01 22 50 172  7.9  9.5  0.78  8.33  4.17 999 1012.4   7.4   8.1   6.6 99.0 99.00
2012 01 01 23 50 160  9.9 11.8  0.88  8.33  4.07 999 1010.7   7.2   8.1   6.7 99.0 99.00
2012 01 02 00 50 175  9.7 11.6  1.05  3.70  3.95 999 1010.4   7.7   8.1   7.0 99.0 99.00
2012 01 02 01 50 178  9.8 11.5  1.16  4.17  4.22 999 1009.6   8.0   8.1   7.8 99.0 99.00
2012 01 02 02 50 166  9.4 11.1  1.35  4.55  4.26 999 1008.2   8.1   8.1   8.0 99.0 99.00
2012 01 02 03 50 170 10.4 12.8  1.43  5.00  4.43 999 1007.3   8.3   8.1   8.2 99.0 99.00
2012 01 02 04 50 166 10.4 12.2  1.54  5.26  4.58 999 1005.7   8.6   8.1   8.5 99.0 99.00
2012 01 02 05 50 164 10.3 12.7  1.69  5.26  4.62 999 1003.7   8.9   8.1   8.8 99.0 99.00
2012 01 02 08 50 181  8.8 10.4  1.61  5.56  4.67 999  999.3   9.2   8.1   9.2 99.0 99.00
2012 01 02 09 50 182  8.3  9.5  1.50  5.56  4.75 999  998.0   8.9   8.1   8.9 99.0 99.00
2012 01 02 10 50 199  8.8 10.6  1.48  5.88  4.89 999  997.9   9.2   8.1   9.2 99.0 99.00
2012 01 02 11 50 215  8.6 10.5  1.49  5.88  4.85 999  997.6   9.0   8.1   9.0 99.0 99.00
2012 01 02 12 50 255 11.6 14.0  1.48  5.88  4.78 999  997.8   7.8   8.1   4.3 99.0 99.00
2012 01 02 13 50 257 11.2 13.2  1.68  6.25  4.65 999  998.5   7.1   8.1   2.7 99.0 99.00
2012 01 02 14 50 257 12.8 15.9  1.86  5.00  4.67 999  998.7   6.7   8.1   0.8 99.0 99.00
2012 01 02 15 50 253 11.8 13.8  2.24  5.88  5.01 999  998.7   6.4   8.1   0.8 99.0 99.00
2012 01 02 16 50 254 13.1 15.8  2.27  6.67  5.10 999  998.3   5.9   8.1  -1.3 99.0 99.00
2012 01 02 17 50 259 12.2 14.2  2.35  6.67  5.27 999  998.3   5.6   8.1  -0.9 99.0 99.00
2012 01 02 18 50 261 12.2 14.9  2.57  7.14  5.40 999  998.4   5.7   8.1  -1.8 99.0 99.00
2012 01 02 19 50 257 12.4 15.4  2.38  6.67  5.32 999  998.7   5.8   8.1  -2.5 99.0 99.00
2012 01 02 20 50 257 11.1 14.7  2.57  6.67  5.49 999  999.4   5.9   8.1  -2.7 99.0 99.00
2012 01 02 21 50 254 12.1 14.6  2.40  6.67  5.31 999 1000.1   5.5   8.0  -3.8 99.0 99.00
2012 01 02 22 50 259 12.6 16.0  2.60  6.67  5.64 999 1001.2   5.4   8.0  -3.7 99.0 99.00
2012 01 02 23 50 264 12.7 15.8  2.63  6.67  5.42 999 1002.0   5.3   8.0  -3.9 99.0 99.00
2012 01 03 00 50 263 12.3 15.8  2.50  7.14  5.63 999 1002.2   5.2   8.0  -3.8 99.0 99.00
2012 01 03 01 50 259 12.3 15.2  2.57  6.67  5.54 999 1002.8   4.9   7.9  -4.3 99.0 99.00
2012 01 03 02 50 255 11.5 15.2  2.75  6.67  5.67 999 1003.0   4.8   7.9  -4.0 99.0 99.00
2012 01 03 03 50 259 12.3 15.0  2.59  6.67  5.60 999 1003.0   4.4   7.9  -4.8 99.0 99.00
2012 01 03 04 50 262 11.7 14.3  2.73  7.14  5.59 999 1003.2   3.8   7.9  -4.7 99.0 99.00
2012 01 03 05 50 264 11.4 14.0  2.73  6.67  5.77 999 1003.2   3.5   7.9  -5.5 99.0 99.00
2012 01 03 06 50 263 12.0 14.5  2.52  6.67  5.45 999 1003.4   3.2   7.9  -5.6 99.0 99.00
2012 01 03 07 50 268 10.7 12.6  2.53  6.67  5.62 999 1003.6   2.7   7.9  -6.1 99.0 99.00
2012 01 03 08 50 288 12.2 15.0  2.47  7.14  5.62 999 1003.5   2.2   7.9  -6.6 99.0 99.00
2012 01 03 09 50 283 11.7 14.0  2.33  7.14  5.21 999 1003.9   1.4   7.9  -8.1 99.0 99.00
