Curriculum:,Spring,2015,as of,2/2/2015 21:45,,,,,,,,
Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA256,A,4,TR, 1:00pm- 2:15pm,African-American Art (See AR256),A,U , ,0, , ,Sheehan    
AA355,A,4,T, 1:00pm- 3:30pm,African-American Women and Social Change (See SO355),,U , ,0, , ,Gilkes     
AA498,A,4,W, 1:00pm- 3:30pm,Anthropology of Creativity (See AY498),, , ,0, , ,Bhimull    
AM171,A,4,TR, 1:00pm- 2:15pm,Introduction to American Studies,, ,LOVE 208,30,30,4,Saltz      
AM222,A,4,M, 7:00pm- 9:30pm,Maine's Musical Soundscapes: Ethnography of Maine (See MU222),A, , ,0, , ,Zelensky   
AM232,A,4,MW,11:00am-12:15pm,Queer Identities and Politics (See WG232),,U , ,0, , ,Beam       
AM234,A,4,MW, 2:30pm- 3:45pm,From Rockabilly Kings to Lady Gaga: A History of Rock 'n' Roll (See MU234),A, , ,0, , ,Zelensky   
AM241,A,4,MW,11:00am-12:15pm,Cultural Work of American Football,, ,MILL 253,15,15,1,Lisle      
AM256,A,4,TR, 1:00pm- 2:15pm,African-American Art (See AR256),A,U , ,0, , ,Sheehan    
AM276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States,S,U ,LOVE 100,38,60,8,Gilkes     
AM334,A,4,TR, 9:30am-10:45am,Film and Society: Films of the 1940s,,U ,LOVE 215,14,30,8,Saltz      
AM357,A,4,T, 1:00pm- 3:30pm,"Civil Rights, Black Power, and Social Change (See SO357)",S,U , ,0, , ,Gilkes     
AM368,A,4,TR, 2:30pm- 3:45pm,Great Books by American Women of Color: from Hurston to Danticat,L,U ,MILL 008,25,25,3,Mannocchi  
AM398A,A,4,M, 1:00pm- 3:30pm,"Activism, Inc.: Queer and Feminist Organizing since 1969",,U ,MILL 241,15,15,2,Beam       
AM398B,A,4,R, 1:00pm- 3:30pm,Mothership Earth: Designing the American Seventies,, ,MILL 253,6,20,0,Lisle      
AM457,A,4,MWF,11:00am-11:50am,American Gothic Literature (See EN457),L,U , ,0, , ,Bryant     
AM493B,A,4,W, 1:00pm- 3:30pm,Seminar: American Cultural Geographies,,U ,MILL 253,9,15,0,Lisle      
AM498,A,4,W, 1:00pm- 3:30pm,Photography and Migration (See AR498),,U , ,0, , ,Sheehan    
AN154,A,3 to 4,TR, 9:30am-10:45am,Roman History,H, ,LOVE 213,25,30,8,"Roisman, J "
AN234,A,4,TR, 1:00pm- 2:15pm,In Search of a Strong Man: Greece in the Fourth Century (See CL234),H,I , ,0, , ,"Roisman, J "
AR101,A,4,MW,11:00am-12:15pm,Approaches to Art History,A, ,BIXL 154,20,20,0,Ameri      
AR101W,A,4,MWF,11:00am-11:50am,Approaches to Art History,"A,W1", ,BIXL 102,18,16, ,Weitz      
AR121,A,4,TR, 1:00pm- 2:15pm,Words and Images: Writing about Art,"A,W1", ,BIXL 075,16,16, ,Finch      Lessing     Timme      
AR131,A,4,MW,11:00am-12:50pm,Introduction to Studio Art,A, ,BIXL 283,17,16,0,Mitchell   
AR131,B,4,MW, 1:00pm- 2:50pm,Introduction to Studio Art,A, ,BIXL 283,16,16,0,Reed       
AR161,A,4,MW, 9:00am-10:50am,Sculpture I,A, ,BIXL 117,16,16,0,Borthwick  
AR162,A,4,MW,11:00am-12:50pm,Sculpture II,, ,BIXL 117,7,16,0,Borthwick  
AR234,A,4,TR,12:15pm- 2:05pm,Printmaking I,, ,BIXL 302,15,16,0,Reed       
AR235,A,4,TR,10:00am-11:50am,Printmaking II: Introduction to Intaglio Techniques,, ,BIXL 302,4,16,0,Reed       
AR242,A,4,TR, 2:00pm- 3:50pm,Painting II,, ,BIXL 250,7,16,0,Engman     
AR252,A,4,TR, 9:30am-10:45am,Medicine and Visual Culture,A, ,BIXL 154,28,25,8,Sheehan    
AR256,A,4,TR, 1:00pm- 2:15pm,African-American Art,A,U ,BIXL 154,26,25,4,Sheehan    
AR262,A,4,MW, 2:00pm- 3:50pm,Sculpture IV,, ,BIXL 117,0,16,0,Borthwick  
AR274,A,4,MWF, 1:00pm- 1:50pm,"Survey of East Asian Art, 1300 to the Present",A, ,BIXL 154,16,25,2,Weitz      
AR276,A,4,TR,11:00am-12:15pm,Zen and the Arts in Asia,A, ,BIXL 154,25,25,7,Weitz      
AR281,A,4,TR,10:00am-11:50am,Photography I,, ,BIXL 278,12,12,0,Gottesman  
AR313,A,4,MW, 2:30pm- 3:45pm,Early Medieval Art,, ,BIXL 154,6,25,5,Ameri      
AR338,A,4,TR, 2:30pm- 3:45pm,Surrealism,, ,BIXL 154,11,25,0,Plesch     
AR341,A,4,TR,11:00am-12:50pm,Painting III,, ,BIXL 250,2,16,0,Engman     
AR342,A,4,TR,11:00am-12:50pm,Painting IV,, ,BIXL 250,5,16,0,Engman     
AR362,A,4,MW, 2:00pm- 3:50pm,Sculpture VI,, ,BIXL 117,0,16,0,Borthwick  
AR381,A,4,TR, 2:00pm- 3:50pm,Photography III: Color and Digital Photography,, ,BIXL 278,8,12,0,Gottesman  
AR382,A,4,TR, 2:00pm- 3:50pm,Photography IV,, ,BIXL 278,3,12,0,Gottesman  
AR402,A,1,W, 7:00pm- 8:30pm,Senior Studio Art Capstone,, , ,7,12, ,Borthwick  Engman     Gottesman  Mitchell   Reed        
AR441,A,4,TR,11:00am-12:50pm,Painting V,, ,BIXL 250,0,16,0,Engman     
AR442,A,4,TR,11:00am-12:50pm,Painting VI,, ,BIXL 250,0,16,0,Engman     
AR443,A,4,TR,11:00am-12:50pm,Painting VII,, ,BIXL 250,0,16,0,Engman     
AR444,A,4,TR,11:00am-12:50pm,Painting VIII,, ,BIXL 250,0,16,0,Engman     
AR472,A,4,M, 7:00pm- 9:30pm,"Seminar: Food in Art, Food as Art",, ,BIXL 102,7,15,0,Plesch     
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,5,12,0,Gottesman  
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,0,12,0,Gottesman  
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,0,12,0,Gottesman  
AR498,A,4,W, 1:00pm- 3:30pm,Photography and Migration,,U ,BIXL 150,12,12,0,Sheehan    
AS151,A,3,MWF, 1:00pm- 1:50pm,"Stars, Stellar Systems, and Cosmology",N, ,KEYE 105,34,35,2,McGrath    
AS151 L,A,1,T, 1:00pm- 3:50pm,Stars and Stellar Systems Laboratory,"N,Lb", ,KEYE 114,14,16, ,McGrath    
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,LOVE 100,38,35,1,Kocevski   
AS342,A,4,WF, 2:30pm- 3:45pm,Galaxies and Cosmology,, ,MUDD 311,18,20,5,Kocevski   
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,15,Strohl     
AY112,B,4,MWF,10:00am-10:50am,Cultural Anthropology,S,I ,DIAM 141,30,30,12,MillsMaryB 
AY112,C,4,TR,11:00am-12:15pm,Cultural Anthropology,S,I ,LOVE 213,30,30,7,Menair     
AY211,A,3,TR,11:00am-12:15pm,Human Rights and Social Justice in Global Perspective (See GS211),, , ,0, , ,Razsa      
AY222,A,4,M, 7:00pm- 9:30pm,Maine's Musical Soundscapes: Ethnography of Maine (See MU222),A, , ,0, , ,Zelensky   
AY242,A,4,TR, 9:30am-10:45am,Anthropology of Latin America: City Life,, ,DIAM 323,10,20,8,"Tate, W    "
AY246,A,4,MW, 1:00pm- 2:15pm,Engaging Muslim Worlds,,I ,DIAM 323,15,20,2,Strohl     
AY262,A,4,TR, 2:30pm- 3:45pm,"Music in Life, Music as Culture: Introduction to Ethnomusicology (See MU262)",A, , ,0, , ,Zelensky   
AY276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AY278,A,4,MW, 1:00pm- 2:15pm,Language and Gender (See EA278),S,I , ,0, , ,Abe        
AY313,A,4,MW,11:00am-12:15pm,Researching Cultural Diversity,, ,DIAM 323,13,15,1,"Tate, W    "
AY333,A,4,T, 1:00pm- 3:30pm,Contemporary Theory,, ,DIAM 243,11,15,4,Bhimull    
AY353,A,4,M, 7:00pm- 9:30pm,Globalization and Human Rights in China (See EA353),S, , ,0, , ,Zhang      
AY361,A,4,T, 1:00pm- 3:30pm,"Militaries, Militarization, and War",S, ,DIAM 323,13,15,0,"Tate, W    "
AY363,A,4,R, 1:00pm- 3:30pm,Secrecy and Power,,I ,DIAM 343,15,15,0,Strohl     
AY451,A,4,T, 1:00pm- 3:30pm,Justice and Injustice in Global Europe (See GS451),, , ,0, , ,Razsa      
AY464,A,4,R, 1:00pm- 3:30pm,Anthropology of Food,, ,DIAM 323,7,15,0,MillsMaryB 
AY498,A,4,W, 1:00pm- 3:30pm,Anthropology of Creativity,, ,DIAM 243,15,15,5,Bhimull    
BC368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II,, ,KEYE 103,19,36,8,Millard    
BC368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II,, ,LOVE 215,19,36,8,Millard    
BC368 L,A,,T,12:30pm- 4:30pm,Lab: Cell Biochemistry,, ,KEYE 303,10,12, ,Millard    
BC368 L,B,,W,12:30pm- 4:30pm,Lab: Cell Biochemistry,, ,KEYE 303,6,12, ,MitchellGe 
BC378,A,4,MWF,10:00am-10:50am,Molecular Biology,, ,OLIN 234,14,16,12,Johnson    
BC378,A,4,W, 1:00pm- 4:00pm,Molecular Biology,, ,AREY 205,14,16,12,Johnson    
BI133,A,4,TR,11:00am-12:15pm,Microorganisms and Society,"N,Lb", ,AREY 005,32,32,7,Fekete     
BI133 L,A,,M, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Colby      
BI133 L,B,,T, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Colby      
BI164,A,4,MWF, 9:00am- 9:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,59,48,14,Wilson     
BI164,B,4,MWF,11:00am-11:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,59,48,14,Wilson     
BI164 L,A1,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,14,16, ,Staffiere  
BI164 L,A2,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,14,16, ,Dalisio    
BI164 L,B1,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,14,16, ,Staffiere  
BI164 L,B2,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,Dalisio    
BI164 L,C1,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,16,16, ,Colby      
BI164 L,C2,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,13,16, ,Dalisio    
BI164 L,D1,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,15,16, ,Staffiere  
BI164 L,D2,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,14,16, ,Childers   
BI225,A,4,MWF, 9:00am- 9:50am,Immunology,, ,DIAM 141,32,32,15,Hannum     
BI225 L,A,,T, 1:00pm- 4:00pm,Lab: Immunology,, ,AREY 305,16,16, ,Hannum     
BI225 L,B,,W, 1:00pm- 4:00pm,Lab: Immunology,, ,AREY 305,16,16, ,Hannum     
BI275,A,4,MWF,12:00n -12:50pm,Human Physiology,, ,OLIN 001,36,36,17,Tilden     
BI275 L,A,,M, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 332,12,12, ,Guay       
BI275 L,B,,W, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 332,12,12, ,Guay       
BI275 L,C,,R, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 332,12,12, ,Guay       
BI279,A,4,TR, 9:30am-10:45am,Genetics,, ,MUDD 405,33,36,8,Peck       
BI279 L,A,,T, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Beachy     
BI279 L,B,,W, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,10,12, ,Peck       
BI279 L,C,,R, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,11,12, ,Beachy     
BI298,A,3,TR, 9:30am-10:45am,Microbes in the Environment,N, ,KEYE 105,16,30,8,Childers   
BI320,A,3,TR,11:00am-12:15pm,Evolutionary Analysis,, ,KEYE 102,21,20,7,"Stone, J.  "
BI327,A,3 to 4,TR,11:00am-12:15pm,The Biology of Cancer,, ,OLIN 001,33,32,7,MitchellGe 
BI327 D,A,,M,12:00n -12:50pm,Disc: Biology of Cancer,, ,OLIN 335,16,16, ,MitchellGe 
BI348,A,3,TR, 9:30am-10:45am,Pathogenic Bacteriology,, ,AREY 005,13,18,8,Fekete     
BI352,A,4,MWF, 9:00am- 9:50am,Advanced and Applied Ecology (See ES352),, , ,0, , ,Cole       
BI352,A,4,M, 1:00pm- 4:00pm,Advanced and Applied Ecology (See ES352),, , ,0, , ,Cole       
BI356,A,4,MWF,10:00am-10:50am,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI356,A,4,W, 1:00pm- 4:00pm,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI366,A,4,TR, 9:30am-10:45am,The Environment and Human Health (See ES366),N, , ,0, , ,Carlson    
BI368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI373,A,3 to 4,MWF,11:00am-11:50am,Animal Behavior,, ,LOVE 205,39,32,1,Bevier     
BI373 L,A,,T, 1:00pm- 4:00pm,Lab: Animal Behavior,, ,OLIN 223,19,16, ,Bevier     
BI374,A,3 to 4,TR, 9:30am-10:45am,Advanced Neurobiology,, ,OLIN 234,18,16,8,Ahmad      
