Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA223,A,4,TR, 9:30am-10:45am,Critical Race Feminisms and Tap Dance (See WG223),A,U , ,0, , ,"Thomas, S  "
AA276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AA298,A,4,MW, 2:30pm- 3:45pm,Historical Roots of Todays Social Activism (See HI298B),H,U , ,0, , ,Jacobson   
AA312,A,4,MW, 1:00pm- 2:15pm,Suburban Politics (See GO312),,U , ,0, , ,Levan      
AA315,A,4,MW,11:00am-12:15pm,Minority Representation (See GO315),S,U , ,0, , ,Levan      
AA330,A,4,TR, 1:00pm- 2:15pm,Global Histories of Food (See HI330),H,I , ,0, , ,Duff       
AA342,A,4,T, 7:00pm- 9:30pm,Crisis and Reform: American Society and Politics in the 1960s (See HI342),H, , ,0, , ,Weisbrot   
AA351,A,4,TR, 2:30pm- 3:45pm,Minority Issues and Social Change in the Americas (See FR351),L,I , ,0, , ,Mauguiere  
AA358,A,4,T, 1:00pm- 3:30pm,The Sociology of W.E.B. Du Bois (See SO358),S,U , ,0, , ,Gilkes     
AA421,A,4,W, 7:00pm- 9:30am,Anthropology of Creativity (See AY421),, , ,0, , ,Bhimull    
AA455,A,4,T, 1:00pm- 3:30pm,Seminar: Conflict and Crisis in Africa (See GO455),,I , ,0, , ,Seay       
AA498,A,4,W, 7:00pm- 9:30pm,"Seminar: The Shifting Americas: Race, Power, and Subjectivity (See SP498)",L,U , ,0, , ,Ramos Flor 
AM120C,A,4,MW,11:00am-12:15pm,Social Justice and the City,W1,U ,LOVE 208,19,16, ,Lisle      
AM171,A,4,MW, 2:30pm- 3:45pm,Introduction to American Studies,,U ,LOVE 319,20,24,3,Fugikawa   
AM232,A,4,MW,11:00am-12:15pm,Queer Identities and Politics (See WG232),,U , ,0, , ,Fugikawa   
