Geo_FIPS,Commute
23001010100,20
23001010200,19
23001010300,21
23001010400,20
23001010500,18
23001010600,23
23001010700,22
23001010800,24
23001020100,21
23001020200,21
23001020300,16
23001020400,21
23001020500,14
23001020600,22
23001020700,24
23001020800,21
23001020900,20
23001030100,26
23001030200,26
23001040000,31
23001041000,30
23001041500,24
23001042000,26
23001043000,37
23001044000,31
23001045000,31
23001046000,28
23001046500,29
23003950100,26
23003950200,21
23003950300,12
23003950400,18
23003950600,17
23003950700,25
23003950900,25
23003951000,23
23003951100,19
23003951200,14
23003951300,21
23003951400,17
23003951600,16
23003951700,16
23003951800,14
23003951900,12
23003952000,11
23003952100,18
23003952300,23
23003952400,15
23003952500,12
23003952600,19
23003952700,26
23003952900,21
23005000100,19
23005000200,21
23005000300,18
23005000500,22
23005000600,20
23005001000,20
23005001100,17
23005001200,22
23005001300,19
23005001500,15
23005001700,21
23005001800,20
23005001900,18
23005002001,18
23005002002,17
23005002101,19
23005002102,19
23005002200,20
23005002300,19
23005002400,31
23005002501,22
23005002502,22
23005002600,25
23005002700,24
23005002800,23
23005002900,19
23005003000,16
23005003100,20
23005003200,25
23005003300,17
23005003400,19
23005003500,19
23005003701,21
23005003702,24
23005004001,25
23005004002,22
23005004100,28
23005004200,25
23005004401,23
23005004402,22
23005004501,19
23005004502,21
23005004600,25
23005004701,28
23005004702,27
23005004801,27
23005004802,27
23005004803,25
23005011100,23
23005011201,23
23005011202,15
23005011300,25
23005011500,30
23005012000,35
23005013000,32
23005014000,38
23005015000,29
23005016000,26
23005016500,42
23005017001,33
23005017002,31
23005017101,31
23005017102,27
23005017301,19
23005017303,19
23005017304,19
23005990000,NA
23007970101,22
23007970102,18
23007970601,14
23007970602,33
23007971000,27
23007971100,29
23007971200,17
23007971300,24
23007971400,36
23009965100,35
23009965200,28
23009965300,29
23009965400,28
23009965503,19
23009965504,25
23009965700,33
23009965800,26
23009965900,15
23009966000,18
23009966100,14
23009966200,18
23009966300,25
23009966400,23
23009966500,24
23009966600,19
23009966700,24
23009990000,NA
23011010100,19
23011010200,18
23011010300,17
23011010400,12
23011010500,18
23011010600,26
23011010700,18
23011010801,22
23011010802,26
23011010900,23
23011011000,27
23011012000,34
23011013000,34
23011014000,29
23011014500,33
23011015000,34
23011015500,32
23011016000,29
23011017000,22
23011018000,28
23011019000,27
23011020000,30
23011020500,24
23011021000,23
23011022000,22
23011023001,19
23011023002,21
23011024101,17
23011024102,20
23011024200,14
23011025000,23
23013970200,12
23013970300,25
23013970400,20
23013970500,14
23013970600,14
23013970700,14
23013970800,18
23013970900,19
23013971000,24
23013971100,8
23013990000,NA
23015975100,28
23015975200,28
23015975300,25
23015975400,25
23015975500,29
23015975600,22
23015975700,19
23015975800,19
23015976200,17
23015990000,NA
23017965100,32
23017965400,23
23017965500,25
23017965600,19
23017965700,29
23017965800,32
23017965900,28
23017966000,30
23017966100,27
23017966200,28
23017966300,32
23017966400,29
23017966500,29
23017966600,30
23017966700,23
23017966800,31
23017966900,36
23019000200,16
23019000300,16
23019000400,13
23019000500,15
23019000600,20
23019000700,17
23019000900,15
23019002000,19
23019003000,21
23019004100,13
23019004200,16
23019004300,19
23019005000,17
23019006100,16
23019006200,16
23019006300,15
23019007100,20
23019007200,18
23019008001,25
23019009000,23
23019010000,21
23019011000,26
23019012000,32
23019012500,31
23019013000,30
23019013500,29
23019014000,38
23019015000,31
23019015500,31
23019018000,28
23019020500,32
23019021500,33
23019022500,41
23019024500,33
23019025500,37
23019026500,27
23019027000,34
23019028000,32
23019028500,27
23019029000,25
23019030000,18
23019031000,21
23019031100,17
23019031200,28
23019031300,24
23019940000,18
23021960301,43
23021960302,32
23021960400,34
23021960500,29
23021960600,23
23021960700,18
23021960800,26
23021960900,19
23023970100,28
23023970200,31
23023970301,23
23023970302,20
23023970400,23
23023970500,20
23023970600,22
23023970700,22
23023990000,NA
23025965301,12
23025965302,23
23025965600,33
23025965700,30
23025965800,29
23025965900,28
23025966000,22
23025966100,30
23025966200,25
23025966300,39
23025966400,26
23025966500,25
23025966600,25
23025966700,22
23025966800,19
23025966900,25
23025967000,33
23027041000,29
23027042000,29
23027043000,17
23027044000,23
23027045000,29
23027046001,36
23027046002,28
23027047000,28
23029955100,26
23029955300,23
23029955400,13
23029955500,16
23029955600,23
23029955700,14
23029955800,26
23029955900,29
23029956100,16
23029956200,14
23029956300,16
23029956400,27
23029956500,23
23029990000,NA
23031005100,24
23031005200,22
23031005300,24
23031005400,28
23031006101,32
23031006102,26
23031020000,30
23031021000,31
23031022000,35
23031022500,41
23031023000,38
23031023500,37
23031024000,39
23031024500,28
23031025100,22
23031025201,23
23031025202,24
23031025300,25
23031025400,25
23031026000,25
23031027000,29
23031028001,26
23031028002,24
23031029000,33
23031030100,29
23031030201,31
23031030202,29
23031030203,30
23031030300,29
23031031000,31
23031032000,26
23031033000,30
23031034001,28
23031034002,29
23031035000,29
23031036001,29
23031036002,25
23031037000,24
23031038001,23
23031038002,23
23031990100,NA
