County,State,B19013001,B19013001s,B23006001,B23006002,B23006003,B23006004,B23006005,B23006006,B23006007,B23006008,B23006009,B23006010,B23006011,B23006012,B23006013,B23006014,B23006015,B23006016,B23006017,B23006018,B23006019,B23006020,B23006021,B23006022,B23006023,B23006024,B23006025,B23006026,B23006027,B23006028,B23006029,B23006001s,B23006002s,B23006003s,B23006004s,B23006005s,B23006006s,B23006007s,B23006008s,B23006009s,B23006010s,B23006011s,B23006012s,B23006013s,B23006014s,B23006015s,B23006016s,B23006017s,B23006018s,B23006019s,B23006020s,B23006021s,B23006022s,B23006023s,B23006024s,B23006025s,B23006026s,B23006027s,B23006028s,B23006029s
Autauga,al,53773,1144.242424,28452,3810,2024,0,2024,1643,381,1786,8940,6900,22,6878,6310,568,2040,8819,7234,259,6975,6676,299,1585,6883,5923,422,5501,5362,139,960,80,272.7272727,212.1212121,16.96969697,212.1212121,193.9393939,105.4545455,173.3333333,423.030303,398.7878788,12.12121212,398.1818182,358.7878788,107.8787879,190.9090909,363.030303,326.0606061,73.93939394,318.7878788,307.8787879,77.57575758,176.3636364,307.2727273,301.8181818,67.87878788,306.6666667,288.4848485,57.57575758,138.7878788
Baldwin,al,50706,830.9090909,96220,10358,6095,0,6095,5088,1007,4263,26494,19701,59,19642,18200,1442,6793,31859,24512,118,24394,22732,1662,7347,27509,22170,109,22061,20906,1155,5339,160.6060606,551.5151515,384.8484848,16.96969697,384.8484848,344.2424242,178.7878788,321.8181818,816.969697,723.030303,34.54545455,727.8787879,676.3636364,210.9090909,327.8787879,791.5151515,662.4242424,37.57575758,656.969697,619.3939394,220.6060606,387.2727273,739.3939394,669.6969697,47.27272727,666.6666667,666.0606061,136.969697,292.1212121
Barbour,al,31889,1340.606061,14966,3500,1198,0,1198,924,274,2302,5144,2966,0,2966,2595,371,2178,4247,2823,0,2823,2503,320,1424,2075,1590,4,1586,1577,9,485,60.60606061,187.8787879,133.9393939,13.33333333,133.9393939,101.8181818,74.54545455,160,200.6060606,187.2727273,13.33333333,187.2727273,180,81.81818182,175.1515152,206.6666667,178.7878788,13.33333333,178.7878788,170.3030303,64.84848485,127.2727273,146.0606061,146.6666667,4.242424242,146.0606061,146.0606061,7.272727273,61.21212121
Bibb,al,36824,2633.939394,12577,2557,1049,0,1049,974,75,1508,5281,3401,0,3401,3100,301,1880,3534,2477,0,2477,2211,266,1057,1205,973,0,973,898,75,232,121.8181818,293.3333333,189.6969697,13.33333333,189.6969697,180.6060606,48.48484848,244.2424242,273.3333333,252.1212121,13.33333333,252.1212121,252.1212121,84.84848485,170.3030303,218.1818182,201.2121212,13.33333333,201.2121212,176.969697,111.5151515,143.6363636,152.7272727,148.4848485,13.33333333,148.4848485,133.3333333,39.39393939,59.39393939
Blount,al,45192,1171.515152,30147,6389,3542,0,3542,2825,717,2847,10560,7466,0,7466,6739,727,3094,9210,6929,6,6923,6548,375,2281,3988,3497,0,3497,3274,223,491,101.2121212,307.2727273,218.1818182,16.96969697,218.1818182,210.9090909,124.2424242,249.6969697,339.3939394,338.1818182,16.96969697,338.1818182,320.6060606,133.9393939,203.6363636,384.2424242,304.8484848,5.454545455,306.0606061,309.6969697,83.63636364,209.6969697,250.9090909,246.0606061,16.96969697,246.0606061,243.6363636,62.42424242,85.45454545
Bullock,al,34500,3995.757576,6081,1689,947,0,947,638,309,742,2115,1432,0,1432,1328,104,683,1514,1213,0,1213,1158,55,301,763,519,0,519,508,11,244,132.1212121,182.4242424,184.8484848,11.51515152,184.8484848,130.3030303,93.33333333,156.3636364,253.3333333,195.7575758,11.51515152,195.7575758,181.2121212,49.09090909,135.7575758,183.6363636,187.2727273,11.51515152,187.2727273,184.8484848,33.33333333,72.12121212,140,107.8787879,11.51515152,107.8787879,107.8787879,15.15151515,73.33333333
Butler,al,30752,1431.515152,10608,1896,779,0,779,498,281,1117,4236,3102,0,3102,2736,366,1134,3004,2269,10,2259,2058,201,735,1472,1287,0,1287,1258,29,185,36.36363636,135.7575758,123.030303,13.33333333,123.030303,86.66666667,70.3030303,121.2121212,182.4242424,166.0606061,13.33333333,166.0606061,154.5454545,72.72727273,114.5454545,149.0909091,143.030303,14.54545455,144.8484848,143.6363636,43.03030303,85.45454545,151.5151515,145.4545455,13.33333333,145.4545455,141.2121212,18.18181818,46.06060606
Calhoun,al,40093,781.2121212,61153,10966,5783,0,5783,4796,987,5183,20480,13846,28,13818,12530,1288,6634,19643,14921,71,14850,13306,1544,4722,10064,8437,108,8329,7980,349,1627,106.0606061,523.030303,367.8787879,16.96969697,367.8787879,323.030303,161.2121212,356.3636364,516.969697,472.1212121,18.78787879,468.4848485,425.4545455,177.5757576,269.0909091,391.5151515,400.6060606,28.48484848,403.6363636,381.2121212,186.6666667,284.8484848,472.7272727,433.3333333,36.36363636,424.2424242,411.5151515,98.18181818,175.7575758
Chambers,al,32181,840.6060606,17865,3805,1766,0,1766,1442,324,2039,6275,4422,4,4418,3743,675,1853,5621,4507,0,4507,3819,688,1114,2164,1861,0,1861,1820,41,303,63.03030303,226.0606061,160.6060606,15.15151515,160.6060606,147.8787879,69.6969697,164.8484848,281.8181818,290.3030303,4.242424242,289.6969697,275.7575758,113.3333333,163.6363636,266.6666667,238.7878788,15.15151515,238.7878788,192.7272727,123.030303,123.6363636,180.6060606,162.4242424,15.15151515,162.4242424,158.7878788,19.39393939,67.87878788
Cherokee,al,36241,2613.333333,13811,2604,1353,0,1353,1095,258,1251,4486,3016,0,3016,2737,279,1470,4751,3358,21,3337,3060,277,1393,1970,1656,0,1656,1577,79,314,102.4242424,256.969697,186.6666667,13.33333333,186.6666667,171.5151515,76.96969697,160.6060606,268.4848485,252.7272727,13.33333333,252.7272727,235.7575758,78.18181818,167.8787879,253.9393939,230.3030303,21.81818182,231.5151515,231.5151515,58.78787879,156.969697,184.8484848,195.7575758,13.33333333,195.7575758,198.1818182,33.33333333,75.15151515
