Country,Crop,Information,Year,Value,Source
Canada,Barley,Area harvested (Ha),2012,2060000,Official data
Canada,Barley,Yield (Hg/Ha),2012,38894.66,Calculated data
Canada,Buckwheat,Area harvested (Ha),2012,0,FAO estimate
Canada,Canary seed,Area harvested (Ha),2012,101900,Official data
Canada,Canary seed,Yield (Hg/Ha),2012,12161.92,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2012,57900,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2012,29343.7,Calculated data
Canada,Maize,Area harvested (Ha),2012,1399700,Official data
Canada,Maize,Yield (Hg/Ha),2012,83611.49,Calculated data
Canada,Oats,Area harvested (Ha),2012,1069530,Official data
Canada,Oats,Yield (Hg/Ha),2012,24954.79,Calculated data
Canada,Rye,Area harvested (Ha),2012,89340,Official data
Canada,Rye,Yield (Hg/Ha),2012,38056.86,Calculated data
Canada,Triticale,Area harvested (Ha),2012,12990,Official data
Canada,Triticale,Yield (Hg/Ha),2012,27374.9,Calculated data
United States of America,Barley,Area harvested (Ha),2012,1312810,Official data
United States of America,Barley,Yield (Hg/Ha),2012,36533.24,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2012,78500,FAO estimate
United States of America,Buckwheat,Yield (Hg/Ha),2012,10445.86,Calculated data
United States of America,Maize,Area harvested (Ha),2012,3.54E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2012,77441.67,Calculated data
United States of America,Millet,Area harvested (Ha),2012,82960,Official data
United States of America,Millet,Yield (Hg/Ha),2012,8447.44,Calculated data
United States of America,Oats,Area harvested (Ha),2012,422900,Official data
United States of America,Oats,Yield (Hg/Ha),2012,21974.7,Calculated data
United States of America,Rye,Area harvested (Ha),2012,100360,Official data
United States of America,Rye,Yield (Hg/Ha),2012,17575.73,Calculated data
United States of America,Sorghum,Area harvested (Ha),2012,2005240,Official data
United States of America,Sorghum,Yield (Hg/Ha),2012,31279.85,Calculated data
Canada,Barley,Area harvested (Ha),2011,2364800,Official data
Canada,Barley,Yield (Hg/Ha),2011,32796.43,Calculated data
Canada,Buckwheat,Area harvested (Ha),2011,0,FAO estimate
Canada,Canary seed,Area harvested (Ha),2011,93000,Official data
Canada,Canary seed,Yield (Hg/Ha),2011,11000,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2011,78800,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2011,30406.09,Calculated data
Canada,Maize,Area harvested (Ha),2011,1201700,Official data
Canada,Maize,Yield (Hg/Ha),2011,88946.49,Calculated data
Canada,Oats,Area harvested (Ha),2011,1029600,Official data
Canada,Oats,Yield (Hg/Ha),2011,29109.36,Calculated data
Canada,Rye,Area harvested (Ha),2011,78900,Official data
Canada,Rye,Yield (Hg/Ha),2011,24676.81,Calculated data
Canada,Triticale,Area harvested (Ha),2011,13400,Official data
Canada,Triticale,Yield (Hg/Ha),2011,23731.34,Calculated data
United States of America,Barley,Area harvested (Ha),2011,906100,Official data
United States of America,Barley,Yield (Hg/Ha),2011,37431.96,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2011,77244,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2011,10299.05,Calculated data
United States of America,Maize,Area harvested (Ha),2011,3.40E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2011,92366.32,Calculated data
United States of America,Millet,Area harvested (Ha),2011,136790,Official data
United States of America,Millet,Yield (Hg/Ha),2011,15169.24,Calculated data
United States of America,Oats,Area harvested (Ha),2011,380000,Official data
United States of America,Oats,Yield (Hg/Ha),2011,20492.37,Calculated data
United States of America,Rye,Area harvested (Ha),2011,97930,Official data
United States of America,Rye,Yield (Hg/Ha),2011,16408.66,Calculated data
United States of America,Sorghum,Area harvested (Ha),2011,1590030,Official data
United States of America,Sorghum,Yield (Hg/Ha),2011,34257.84,Calculated data
Canada,Barley,Area harvested (Ha),2010,2387200,Official data
Canada,Barley,Yield (Hg/Ha),2010,31858.66,Calculated data
Canada,Canary seed,Area harvested (Ha),2010,153800,Official data
Canada,Canary seed,Yield (Hg/Ha),2010,9980.49,Calculated data
Canada,"Grain, mixed",Area harvested (Ha),2010,83600,Official data
Canada,"Grain, mixed",Yield (Hg/Ha),2010,29162.68,Calculated data
Canada,Maize,Area harvested (Ha),2010,1202900,Official data
Canada,Maize,Yield (Hg/Ha),2010,97385.49,Calculated data
Canada,Oats,Area harvested (Ha),2010,906100,Official data
Canada,Oats,Yield (Hg/Ha),2010,27364.53,Calculated data
Canada,Rye,Area harvested (Ha),2010,95200,Official data
Canada,Rye,Yield (Hg/Ha),2010,24411.76,Calculated data
Canada,Triticale,Area harvested (Ha),2010,22200,Official data
Canada,Triticale,Yield (Hg/Ha),2010,29729.73,Calculated data
United States of America,Barley,Area harvested (Ha),2010,997560,Official data
United States of America,Barley,Yield (Hg/Ha),2010,39344.7,Calculated data
United States of America,Buckwheat,Area harvested (Ha),2010,78269,FAO data based on imputation methodology
United States of America,Buckwheat,Yield (Hg/Ha),2010,10555.26,Calculated data
United States of America,Maize,Area harvested (Ha),2010,3.30E+07,Official data
United States of America,Maize,Yield (Hg/Ha),2010,95922.72,Calculated data
United States of America,Millet,Area harvested (Ha),2010,146900,Official data
United States of America,Millet,Yield (Hg/Ha),2010,17808.71,Calculated data
United States of America,Oats,Area harvested (Ha),2010,511120,Official data
United States of America,Oats,Yield (Hg/Ha),2010,23056.62,Calculated data
United States of America,Rye,Area harvested (Ha),2010,107240,Official data
United States of America,Rye,Yield (Hg/Ha),2010,17601.64,Calculated data
United States of America,Sorghum,Area harvested (Ha),2010,1947770,Official data
United States of America,Sorghum,Yield (Hg/Ha),2010,45073.49,Calculated data
Canada,Barley,Area harvested (Ha),2009,2917600,Official data
Canada,Barley,Yield (Hg/Ha),2009,32619.96,Calculated data
Canada,Canary seed,Area harvested (Ha),2009,143700,Official data
