County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Autauga,al,35881,17407,30169,35327,54917,63317,46227,26055,36440,48243,64639,79750,27799,15634,23728,27430,42158,49829
Baldwin,al,31439,16970,25414,31312,44940,54599,40662,20401,31553,42561,61454,70349,24694,11772,18670,24040,36010,51107
Barbour,al,25201,15643,20946,24201,42629,48500,31623,20526,29966,32212,61528,62788,19950,12878,16748,19479,32014,47833
Bibb,al,29016,23125,27869,23728,53304,53500,34723,30647,32694,40850,57212,55929,20049,13679,17175,18722,38193,50250
Blount,al,32035,23533,27982,33980,47493,54179,38544,27352,35917,45977,49385,71528,25441,12936,20208,28202,44316,53353
Bullock,al,26408,17158,30739,31550,31758,24250,31138,18255,34417,40536,46324,19407,21042,4608,17937,22525,26789,51964
Butler,al,26325,16154,22969,28018,41146,56339,32243,18281,30166,36875,51964,59397,21240,15272,19065,21215,37056,51471
Calhoun,al,29534,16670,26322,30734,41507,50997,37340,21295,34517,42209,51938,58963,22008,11860,19876,22086,36736,48530
Chambers,al,27217,20973,21273,29440,46036,60426,30678,25765,27336,33505,51842,61178,23684,16434,18130,27843,40766,54205
Cherokee,al,30421,20664,27062,31927,39528,55571,35434,23552,33003,41329,44934,73409,25623,15667,20625,25106,39019,53955
Chilton,al,32002,24717,30556,32488,44161,53205,38491,28740,39572,41410,60242,73750,25972,19923,21396,28350,38679,51133
Choctaw,al,28586,25606,30161,25962,41188,40821,44075,27770,44950,47895,50682,52656,20048,4647,20379,19702,31875,30179
Clarke,al,31138,16196,25900,34611,39149,53906,42939,18889,42730,44931,46705,67857,23571,10938,16035,27122,31604,53153
Clay,al,28530,25896,26143,29085,34028,49269,31345,28769,30667,32964,31865,48750,24448,17258,17487,26129,41250,49554
Cleburne,al,29253,22636,24627,30940,52769,54643,38613,24597,33135,47946,58407,58182,21495,11344,17115,21004,41817,53929
Coffee,al,32024,18102,25468,34213,44113,61713,42196,20136,30373,49448,60268,74228,24208,16985,19059,22592,35170,52443
Colbert,al,31845,18219,28081,30728,47489,56505,39685,19856,39142,38191,55573,77295,24542,16370,19907,23228,40841,51875
Conecuh,al,25908,20000,24755,19968,50313,56792,35088,25603,32300,50186,53214,61563,19508,10104,19732,18543,42298,52384
Coosa,al,26513,19514,24325,30800,37308,56016,31300,24338,30814,36000,36442,67574,23439,17852,18733,24781,46875,50664
Covington,al,25825,16431,21821,27599,37686,54550,29673,18472,26584,34332,58257,64286,21102,12899,16241,22615,35737,53010
Crenshaw,al,27626,18981,30157,29444,43125,38839,33511,23352,34310,44432,43750,53750,22035,14911,19866,21520,42823,36711
Cullman,al,28423,18225,25863,30556,40979,53276,33418,20797,31058,38061,48831,74191,23557,14296,17879,25751,38250,49698
Dale,al,30997,18579,25108,33270,43865,49634,39017,19228,31226,43345,56769,58523,24042,18110,19689,25220,34829,48164
Dallas,al,25760,17651,22031,26872,32260,53109,31608,23832,31695,31476,50000,72857,19846,9482,17951,20049,27688,50169
DeKalb,al,26078,18381,25840,28665,40652,48774,31451,21868,31265,36861,52813,57111,20903,15931,19469,25526,29458,46019
Elmore,al,35695,21592,28827,33082,50083,54730,44531,29622,36603,46473,59500,71314,28621,11481,21979,26651,43187,49540
Escambia,al,26244,14037,22891,29462,38722,52861,30489,13750,27727,36696,34213,57415,21794,17524,17260,22448,40742,50915
Etowah,al,28946,19804,23868,28810,42452,53656,34315,25462,30285,37298,48500,63690,23403,15638,18947,23296,39183,51729
Fayette,al,29282,18194,28846,29070,42237,43785,33955,19758,36418,37794,27467,36765,21499,13000,18586,21071,50083,44132
Franklin,al,27153,20253,25872,28604,40962,54091,32713,21924,34917,36507,49047,68958,21258,15711,17669,22937,33047,51591
Geneva,al,25046,18087,24026,26141,36913,53202,27449,18654,30317,30892,37363,62578,22353,14651,17938,23833,34881,52627
Greene,al,22149,17361,19421,25127,80313,56384,22371,18977,21581,24737,53750,250001,21860,15962,16997,25368,122557,55804
Hale,al,23767,17734,19452,31827,33056,49559,25714,18393,20982,38229,48516,76154,22161,15441,18150,26557,31505,48466
Henry,al,30512,19231,26654,30934,54221,49250,37994,22434,32111,39547,68583,70298,23931,10729,20965,22285,37016,43850
Houston,al,29799,16727,24254,30021,47570,55462,37399,20934,30717,38580,59950,77611,23709,13213,18861,24586,37118,51307
Jackson,al,27482,22432,24668,29006,45352,54341,32007,25971,29854,34181,50978,92708,22489,17414,19332,24252,42898,46818
Jefferson,al,34040,17383,25876,31420,46068,58491,40765,20322,31187,38882,57312,77456,29348,13107,21020,27281,38861,52257
Lamar,al,30019,21603,27405,29414,49341,46083,34177,25567,33073,38688,53790,80292,20600,4583,17965,20722,46103,39643
Lauderdale,al,30293,18007,25006,30140,39358,51799,38885,24977,35130,39248,52928,66315,21887,12508,17542,23558,31206,45525
Lawrence,al,31215,21633,27387,30810,41101,50500,40166,30000,38681,43092,45313,65820,21170,15597,18183,21592,38359,37431
Lee,al,32702,18942,25915,31860,43493,54166,38560,21674,31040,40518,51459,65566,26811,13439,20684,25126,39981,50458
Limestone,al,33741,20101,26222,32471,54487,61635,41016,25330,35212,41919,78340,91134,25685,14543,20478,26352,41953,51064
Lowndes,al,27010,15801,26316,27719,38008,44479,35344,16553,32602,46667,78958,63056,20485,15000,18933,19469,33125,42604
Macon,al,25204,20219,21835,25328,38869,48990,28243,21581,25228,33807,42986,47026,21776,19299,17993,20279,35682,52222
Madison,al,37949,17653,26168,32030,56898,75616,49986,20257,30641,39830,76695,99188,30319,15155,20957,26770,40463,55768
Marengo,al,29058,20337,21175,31582,42517,50579,38575,30859,28054,44818,52422,52857,21298,16103,15788,22447,38424,50518
Marion,al,25283,17055,22352,27331,50369,49267,29753,21323,27362,32558,52234,58000,20801,12223,17729,23174,40208,46900
Marshall,al,27276,17978,25141,30492,46568,54954,32018,20277,30733,36193,63713,76576,22364,14507,20048,25222,39262,47237
Mobile,al,31385,18932,27031,30424,43612,52792,40064,25235,35084,41943,54093,74545,25193,13565,20268,24671,37033,48255
Monroe,al,27128,17729,26120,27713,42443,56055,34303,22279,33935,41229,54784,77132,20930,6127,19232,22896,35833,55176
Montgomery,al,31731,15098,24131,28936,45175,57444,37525,17696,26628,34820,58682,81995,27785,13540,21645,25657,37651,49402
