Year,Australia,Belgium,Chile,Denmark,France,Germany,Greece,Indonesia,Italy,Japan,Netherlands,Sweden,US
1850,605000,4449000,1409885,1499000,36350000,33746000,3044000,21754448,24460000,32000000,3098000,3440865,23579718
1851,636000,4477000,1433777,1517000,36479000,34055000,3072000,22006188,24617000,32117649,3133000,3480885,24405303
1852,710000,4506000,1457897,1536000,36609000,34290000,3100000,22260841,24776000,32235730,3167000,3514057,25230918
1853,795000,4534000,1482258,1552000,36739000,34422000,3129000,22518442,24935000,32354246,3194000,3539622,26156953
1854,887000,4563000,1506873,1569000,36869000,34531000,3158000,22779022,25096000,32473197,3218000,3567989,26882238
1855,983000,4592000,1531758,1590000,37000000,34586000,3187000,23042618,25257000,32592585,3235000,3605026,27707943
1856,1065000,4621000,1556924,1612000,37060000,34715000,3216000,23309265,25420000,32712413,3253000,3640807,28534680
1857,1156000,4651000,1582386,1634000,37120000,34979000,3246000,23578997,25584000,32832681,3277000,3668420,29360442
1858,1235000,4680000,1608154,1653000,37180000,35278000,3273000,23851850,25748000,32953391,3294000,3695129,30186232
1859,1279000,4710000,1634242,1674000,37240000,35633000,3306000,24127861,25914000,33074545,3304000,3735679,31012051
1860,1326000,4740000,1660659,1696000,37300000,36049000,3336000,24407066,26081000,33196144,3318000,3792612,31838901
1861,1346000,4774000,1687416,1717000,37390000,36435000,3367000,24689502,26249000,33318191,3340000,3860352,32677742
1862,1382000,4809000,1714521,1739000,37520000,36788000,3398000,24975206,26418000,33440686,3366000,3902859,33515609
1863,1432000,4844000,1741983,1761000,37710000,37184000,3430000,25264216,26610000,33563632,3397000,3937168,34354509
1864,1495000,4879000,1769808,1777000,37860000,37602000,3461000,25556571,26814000,33687029,3431000,3981274,35192433
1865,1558000,4915000,1798001,1799000,38020000,37955000,3493000,25852308,27023000,33810880,3460000,4021874,36031388
1866,1609000,4950000,1826566,1814000,38080000,38193000,3525000,26151468,27256000,33935187,3484000,4063091,36869368
1867,1647000,4986000,1855505,1833000,38230000,38440000,3558000,26454090,27411000,34059950,3510000,4102752,37708378
1868,1700000,5023000,1884819,1852000,38330000,38637000,3591000,26760214,27501000,34185173,3543000,4134190,38546412
1869,1750000,5029000,1914507,1871000,38890000,38914000,3621000,27069880,27681000,34310855,3575000,4144735,39385476
1870,1775000,5096000,1944569,1888000,38440000,39231000,3657000,27383129,27888000,34437000,3610000,4152290,40240630
