Year,Month,Temp,Uncertainty
1841,1,1.809,6.123
1841,2,3.366,6.737
1841,3,7.122,11.016
1841,4,13.306,16.924
1841,5,19.007,21.329
1841,6,22.943,27.706
1841,7,27.783,30.86
1841,8,27.092,30.468
1841,9,22.326,25.397
1841,10,16.971,19.786
1841,11,11.281,14.447
1841,12,5.429,8.053
1842,1,3.028,5.452
1842,2,4.396,6.599
1842,3,9.67,11.258
1842,4,14.659,16.743
1842,5,18.873,21.375
1842,6,23.73,25.891
1842,7,26.674,30.309
1842,8,27.013,30.052
1842,9,22.71,25.291
1842,10,16.388,20.242
1842,11,10.988,14.274
1842,12,7.003,8.136
1843,1,3.824,5.209
1843,2,5.798,6.739
1843,3,8.402,11.277
1843,4,14.369,16.388
1843,5,18.206,21.384
1843,6,23.542,25.943
1843,7,27.272,30.774
1843,8,27.372,29.981
1843,9,22.907,25.139
1843,10,16.43,20.697
1843,11,11.285,14.079
1843,12,6.939,8.764
1844,1,2.947,5.555
1844,2,4.643,7.864
1844,3,9.385,10.695
1844,4,13.767,16.435
1844,5,18.404,21.451
1844,6,23.572,26.044
1844,7,27.127,30.709
1844,8,27.434,29.92
1844,9,22.523,25.206
1844,10,17.642,19.455
1844,11,11.652,14.648
1844,12,4.883,8.036
1845,1,4.007,5.306
1845,2,4.631,8.21
1845,3,9.182,10.398
1845,4,14.101,16.275
1845,5,19.785,21.094
1845,6,25.068,25.921
1845,7,28.089,30.237
1845,8,27.013,29.55
1845,9,22.493,25.173
1845,10,16.613,19.18
1845,11,10.935,13.867
1845,12,3.196,7.726
1846,1,3.069,5.848
1846,2,5.426,7.631
1846,3,9.063,11.377
1846,4,13.837,16.227
1846,5,17.913,21.384
1846,6,24.561,25.987
1846,7,28.271,30.091
1846,8,28.225,29.412
1846,9,24.028,25.041
1846,10,17.6,19.321
1846,11,10.921,13.85
1846,12,7.315,8.125
1847,1,3.313,8.222
1847,2,3.611,6.929
1847,3,9.457,13.087
1847,4,15.242,15.77
1847,5,18.795,21.004
1847,6,23.137,26.17
1847,7,28.233,30.385
1847,8,27.047,30.613
1847,9,23.715,24.751
1847,10,17.139,18.857
1847,11,13.528,13.923
1847,12,6.133,8.582
1848,1,2.136,5.319
1848,2,3.908,7.862
1848,3,8.909,10.151
1848,4,13.058,17.745
1848,5,20.159,21.192
1848,6,23.209,25.861
1848,7,27.219,31.804
1848,8,26.066,30.108
1848,9,22.831,24.836
1848,10,16.96,19.356
1848,11,9.463,15.049
1848,12,6.344,7.494
1849,1,3.326,4.47
1849,2,6.955,6.683
1849,3,9.445,10.948
1849,4,12.957,16.803
1849,5,18.813,21.038
1849,6,22.954,26.373
1849,7,26.527,30.484
1849,8,27.619,29.186
1849,9,23.435,24.83
1849,10,17.08,19.368
1849,11,10.509,15.093
1849,12,5.701,7.873
1850,1,2.847,4.72
1850,2,4.2,6.984
1850,3,9.583,11.491
1850,4,12.975,17.05
1850,5,19.929,22.871
1850,6,24.008,25.506
1850,7,27.425,29.745
1850,8,27.723,30.818
1850,9,23.004,24.507
1850,10,18.11,20.205
1850,11,11.192,14.393
1850,12,6.169,8.885
1851,1,4.301,5.077
1851,2,4.989,6.715
1851,3,8.043,10.524
1851,4,12.499,17.157
1851,5,18.442,20.623
1851,6,23.568,26.184
1851,7,27.893,29.995
1851,8,27.404,29.641
1851,9,22.143,24.483
1851,10,15.659,21.021
1851,11,12.205,14.472
1851,12,5.525,9.174
1852,1,2.933,5.736
1852,2,2.996,6.227
1852,3,7.244,10.207
1852,4,13.154,16.177
1852,5,19.775,21.086
1852,6,25.444,26.454
1852,7,29.383,30.231
1852,8,27.358,29.4
1852,9,22.277,25.036
1852,10,18.115,19.061
1852,11,11.613,14.581
1852,12,4.968,8.909
1853,1,2.17,5.091
1853,2,3.186,6.141
1853,3,9.512,10.918
1853,4,13.918,15.88
