YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1960,0.2,0.2,1.7,1.3,0.9,0.2,0.8,1.3,1.1,0.2,0.9,1.3
1961,-0.4,1.5,-3,1.3,0.5,0.2,0.4,0.2,0.1,-0.5,0.9,2.5
1962,3.3,-0.5,0.2,0.3,1.8,1.2,0.1,1,0.7,1.6,0.5,0.3
1963,1.7,0.9,1.9,1.3,0.6,-0.8,-0.2,0,-1,-2,-1.4,-2
1964,-0.6,0.1,1.9,1.8,0.4,1.2,0.9,2.5,2.1,2.2,0.3,-0.5
1965,-0.7,0.7,1.2,-0.9,0.3,-0.9,-3,-1.1,-2.2,-1.5,-2.4,0.3
1966,-2.2,-0.4,-1.5,-0.3,-0.7,0.5,0.1,1.1,-0.4,-0.2,0,-0.6
1967,2.8,2.8,2,-0.1,0,1.1,0.3,1.2,0.8,0.1,-0.7,-0.9
1968,0.9,2.1,0.2,0,2.1,1.8,1.1,0.4,-0.4,-0.1,-0.6,0.3
1969,-2.4,-0.9,0.7,-0.6,-0.4,0.3,-0.8,-0.2,-1.6,-1.5,-0.1,0.7
1970,-1.9,-1.7,1,-0.1,0.6,1.6,-0.6,1,1.9,1.7,2.6,3.2
1971,0.6,3.3,3.8,2.8,1.4,0.7,0.4,2.5,2.3,2.8,0.9,0.4
1972,0.8,1.8,1.1,-0.2,-2.6,-0.9,-2.4,-0.8,-2.2,-1.5,-0.6,-2.1
1973,-0.5,-2.3,1.2,0.1,0.7,1.8,1,2.1,2,1.3,4.3,3
1974,4,3.4,4,1.6,1.6,0.7,1.9,1.3,1.8,1.5,-0.2,0.3
1975,-0.8,1.3,2.6,1.9,1.1,2.1,3.1,3.3,3.4,2.8,1.9,3.5
1976,2.3,2.8,2.9,0.5,0.6,0.4,-1.4,-1.3,-1.9,0.7,1.2,-0.6
1977,-0.7,2,-0.9,-0.7,-0.8,-1.5,-1.9,-1.3,-1.3,-1.7,-2.1,-1.7
1978,-0.5,-4.4,-0.3,-0.5,2.2,1.1,0.9,0.7,0.1,-0.6,0,-0.1
1979,-0.7,1.6,0.2,-0.2,0.8,1.1,2.2,-0.3,0.2,-0.2,-0.7,-1.2
1980,0.7,0.5,-0.7,-1,0,0,-0.1,0.6,-0.8,0,-0.6,-0.1
1981,0.6,-0.3,-2.1,-0.2,1.3,2,1.4,1.2,0.5,-0.6,0.3,0.8
1982,2,0.4,1,0.1,-0.6,-1.7,-2.5,-2.9,-2.9,-2.8,-4.3,-3.7
1983,-5.8,-6,-4,-1.5,1,0.1,-1,0.2,1.4,0.7,-0.2,0
1984,0.3,1.4,-0.4,0.6,0.3,-0.6,0.3,0.7,0.2,-0.5,0.4,-0.2
1985,-0.5,2,1.3,1.9,0.7,-0.6,-0.2,1.6,0,-0.6,-0.3,0.4
1986,1.6,-1.7,0.8,0.5,-0.4,1.6,0.5,-0.6,-0.8,1.1,-2,-2.4
1987,-1.1,-2.1,-2.1,-2.3,-2.1,-1.8,-2.2,-1.5,-1.7,-0.6,0,-0.8
1988,-0.2,-0.6,1.1,0.2,1.5,0.1,1.7,2.5,3,2.3,2.8,2
1989,2.5,2,1.8,2.7,2,1.2,1.5,-0.5,0.8,1.3,-0.4,-0.9
1990,-0.1,-3,-0.7,0.3,2,0.5,0.9,-0.3,-1.2,0.4,-0.8,-0.4
1991,1,0.4,-1.1,-1,-1.7,-0.2,0,-0.7,-2.5,-1.7,-1.1,-2.9
