StateName,StateFIPS,PumaState,PUMA,Counties Within PUMA,uninsured_total,uninsured_percent,Foodstamp,Age0_18,Age19_25,Age26_34,Age35_54,Age55_64,138PctFPL_or_Less,139to400PctFPL,Above400PctFPL,Male,Female,Married,ChildinFamily,Latino,WhiteNonLatino,BlackNonLatino,AsianNonLatino,HawaiiPacIslander,AmericanIndian_AlaskaNative,Multiracial_or_Other,Disabled,FullTime_Worker_in_Family,Job_Agriculture,Job_Mining,Job_ManufacturingConstruction,Job_Trade,Job_InfoFinance,Job_EducHealth,Job_Entertainment,Job_Service,Job_MilitaryPublic,LessThanHS,HSDiploma,CollegeGrad,NoEnglishAdults_in_House,EnglishSpeaking,Spanish,Chinese,Korean,Vietnamese,Tagalog,Russian,OtherLang,SpeaksMostCommonOthLang,OtherLanguage
Alabama,1,100100,100,"Lauderdale County, Colbert County",18517,15.3%,7754,445,4358,4922," 7,349 "," 1,443 "," 11,434 "," 6,486 ", 597 ," 8,797 "," 9,719 "," 5,532 "," 7,463 ", 964 ," 15,603 "," 1,770 ", 9 , -   , 171 , -   ," 3,484 "," 13,213 ", 117 ," 2,996 "," 2,503 "," 3,757 "," 2,033 "," 1,715 "," 1,786 ", 418 , 725 ," 3,557 "," 13,685 "," 1,275 ",783,17665,852, -   ,,,,,,,**
Alabama,1,100200,200,Madison County (part),28109,19%,8364,1506,4865,8068," 9,792 "," 3,878 "," 16,203 "," 8,262 "," 3,643 "," 15,183 "," 12,926 "," 6,093 "," 6,151 "," 1,438 "," 15,043 "," 9,877 ", 570 , -   , 857 , 323 ," 3,822 "," 19,728 ", 62 ," 2,586 "," 2,546 "," 2,965 "," 6,852 "," 1,401 "," 5,051 "," 1,463 ", 917 ," 5,363 "," 19,910 "," 2,835 ",360,27579,491, -   ,,38,,,,,**
Alabama,1,100300,300,Madison County (part),26568,12.1%,6620,1147,4786,6231," 12,166 "," 2,237 "," 16,901 "," 7,345 "," 2,321 "," 15,907 "," 10,660 "," 9,896 "," 8,723 "," 1,158 "," 19,474 "," 4,929 ", 120 , -   , 369 , 518 ," 2,889 "," 17,397 ", 425 ," 4,056 "," 2,219 "," 3,859 "," 3,400 "," 1,245 "," 2,847 ", 944 , 942 ," 5,703 "," 18,290 "," 2,574 ",672,25729,839, -   ,,,,,,,**
Alabama,1,100400,400,"DeKalb County, Jackson County",21245,20.4%,6330,6713,2582,2940," 6,068 "," 2,943 "," 13,626 "," 5,893 "," 1,726 "," 10,703 "," 10,543 "," 7,148 "," 11,744 "," 2,797 "," 15,990 "," 2,055 ", -   , -   , -   , 403 ," 2,428 "," 15,651 ", 944 ," 1,030 "," 2,771 "," 1,563 "," 1,937 "," 2,333 "," 1,219 ", 425 , 408 ," 7,939 "," 13,059 ", 247 ,135,20800,446, -   ,,,,,,,**
Alabama,1,100500,500,"Marshall County, Cullman County, Winston County",25654,16%,8155,3627,5429,3614," 10,084 "," 2,901 "," 16,979 "," 6,824 "," 1,851 "," 15,321 "," 10,334 "," 7,675 "," 11,153 "," 2,063 "," 21,733 "," 1,111 ", 332 , 45 , 83 , 287 ," 3,694 "," 19,066 ", 795 ," 3,439 "," 2,650 "," 4,764 "," 1,437 "," 1,268 "," 3,234 "," 1,324 "," 1,299 "," 7,870 "," 17,006 ", 778 ,1236,24218,1313,7,,,24,,92,,**
Alabama,1,100600,600,"Morgan County, Lawrence County",19470,15.6%,4905,2344,3515,4286," 6,506 "," 2,819 "," 11,828 "," 7,203 ", 438 ," 9,368 "," 10,101 "," 4,227 "," 7,496 "," 1,229 "," 13,636 "," 3,981 ", -   , -   , 546 , 78 ," 3,373 "," 14,441 ", 156 ," 1,876 "," 2,238 "," 2,877 "," 1,894 "," 1,087 "," 3,646 ", 510 , 794 ," 2,787 "," 15,519 "," 1,163 ",817,18764,706, -   ,,,,,,,**
Alabama,1,100700,700,"Franklin County, Marion County, Pickens County, Fayette County, Lamar County, Sumter County",19421,17.8%,7781,487,3308,3161," 10,108 "," 2,357 "," 13,051 "," 5,161 "," 1,209 "," 10,370 "," 9,051 "," 6,317 "," 5,021 "," 1,160 "," 12,188 "," 5,990 ", 52 , -   , -   , 31 ," 2,558 "," 11,472 ", 950 ," 2,346 "," 3,014 "," 2,879 "," 1,588 "," 1,012 "," 2,317 ", 739 ," 1,556 "," 5,839 "," 13,255 ", 327 ,83,19338,,3,,,,,80,,**
Alabama,1,100800,800,"Walker County, St. Clair County, Blount County",27814,15.8%,11558,3073,5638,7066," 9,420 "," 2,617 "," 18,814 "," 8,250 ", 750 ," 14,509 "," 13,305 "," 6,608 "," 10,683 "," 1,357 "," 23,802 "," 1,465 ", 16 , -   , 312 , 862 ," 4,515 "," 18,022 ", 198 ," 3,903 "," 2,442 "," 3,543 "," 1,702 "," 2,645 "," 2,926 "," 1,884 "," 1,292 "," 7,275 "," 19,114 "," 1,425 ",440,27148,651, -   ,,14,,,,,**
Alabama,1,100901,901,Jefferson County (part),16726,20.5%,7831,1648,4214,3564," 5,137 "," 2,163 "," 13,820 "," 2,728 ", 178 ," 8,393 "," 8,333 "," 2,636 "," 4,474 ", 795 ," 4,427 "," 11,316 ", 15 , -   , -   , 173 ," 1,795 "," 11,338 ", 245 , 837 ," 1,391 "," 2,448 "," 2,521 "," 2,023 "," 2,583 "," 1,154 ", 574 ," 4,636 "," 10,771 "," 1,319 ",368,16313,398, -   ,,,,,15,,**
Alabama,1,100902,902,Jefferson County (part),16132,19.2%,9085,1281,2340,4385," 6,625 "," 1,501 "," 11,038 "," 4,397 ", 697 ," 10,095 "," 6,037 "," 2,746 "," 4,016 ", 321 , 162 ," 15,649 ", -   , -   , -   , -   ," 2,477 "," 10,310 ", 51 , 960 ," 1,196 "," 3,629 "," 1,849 "," 1,384 "," 2,320 ", 322 , 652 ," 3,651 "," 11,505 ", 977 ,207,15795,337, -   ,,,,,,,**
