"","Year","Month","Average"
"1",1959,1,315.58
"2",1959,2,316.48
"3",1959,3,316.65
"4",1959,4,317.72
"5",1959,5,318.29
"6",1959,6,318.15
"7",1959,7,316.54
"8",1959,8,314.8
"9",1959,9,313.84
"10",1959,10,313.33
"11",1959,11,314.81
"12",1959,12,315.58
"13",1960,1,316.43
"14",1960,2,316.98
"15",1960,3,317.58
"16",1960,4,319.03
"17",1960,5,320.04
"18",1960,6,319.59
"19",1960,7,318.18
"20",1960,8,315.9
"21",1960,9,314.17
"22",1960,10,313.83
"23",1960,11,315
"24",1960,12,316.19
"25",1961,1,316.89
"26",1961,2,317.7
"27",1961,3,318.54
"28",1961,4,319.48
"29",1961,5,320.58
"30",1961,6,319.77
"31",1961,7,318.57
"32",1961,8,316.79
"33",1961,9,314.99
"34",1961,10,315.31
"35",1961,11,316.1
"36",1961,12,317.01
"37",1962,1,317.94
"38",1962,2,318.55
"39",1962,3,319.68
"40",1962,4,320.57
"41",1962,5,321.02
"42",1962,6,320.62
"43",1962,7,319.61
"44",1962,8,317.4
"45",1962,9,316.25
"46",1962,10,315.42
"47",1962,11,316.69
"48",1962,12,317.7
"49",1963,1,318.74
"50",1963,2,319.07
"51",1963,3,319.86
"52",1963,4,321.38
"53",1963,5,322.25
"54",1963,6,321.48
"55",1963,7,319.74
"56",1963,8,317.77
"57",1963,9,316.21
"58",1963,10,315.99
"59",1963,11,317.07
"60",1963,12,318.35
"61",1964,1,319.57
"62",1964,2,320.01
"63",1964,3,320.74
"64",1964,4,321.84
"65",1964,5,322.26
"66",1964,6,321.89
"67",1964,7,320.44
"68",1964,8,318.69
"69",1964,9,316.7
"70",1964,10,316.87
"71",1964,11,317.68
"72",1964,12,318.71
"73",1965,1,319.44
"74",1965,2,320.44
"75",1965,3,320.89
"76",1965,4,322.14
"77",1965,5,322.17
"78",1965,6,321.87
"79",1965,7,321.21
"80",1965,8,318.87
"81",1965,9,317.81
"82",1965,10,317.3
"83",1965,11,318.87
"84",1965,12,319.42
"85",1966,1,320.62
"86",1966,2,321.6
"87",1966,3,322.39
"88",1966,4,323.7
"89",1966,5,324.08
"90",1966,6,323.75
"91",1966,7,322.38
"92",1966,8,320.36
"93",1966,9,318.64
"94",1966,10,318.1
"95",1966,11,319.78
"96",1966,12,321.03
"97",1967,1,322.33
"98",1967,2,322.5
"99",1967,3,323.04
"100",1967,4,324.42
"101",1967,5,325
"102",1967,6,324.09
"103",1967,7,322.54
"104",1967,8,320.92
"105",1967,9,319.25
"106",1967,10,319.39
"107",1967,11,320.73
"108",1967,12,321.96
"109",1968,1,322.57
"110",1968,2,323.15
"111",1968,3,323.89
"112",1968,4,325.02
"113",1968,5,325.57
"114",1968,6,325.36
"115",1968,7,324.14
"116",1968,8,322.11
"117",1968,9,320.33
